stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,1,2,0,0,0,0
 24-34,0,0,1.64,0,1.64,0.82,0,0,0,0,0,1.64,0,0,2.46,20.52,0,0,0.82,0,0,0,0.82,4.1,0,0,0,0
 36-46,0,0,0,0,4.83,0.81,0,0,0.81,0,0,2.42,0,0,0,19.34,0,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,6.31,1.72,0,0,0,0,0,1.72,0,0,0.57,18.94,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0.98,0,10.8,4.91,0,0,0,0,0,0.98,0,0,0.98,10.8,0.98,0,1.96,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,1.96,4.91,0,0,0,0,0,2.94,0,0,0,13.74,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0.98
 84-94,0,1.06,0,1.06,6.37,2.12,0,1.06,0,0,1.06,3.19,1.06,0,0,3.19,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,2.19,5.46,4.37,0,0,0,2.19,0,2.19,0,1.09,0,5.46,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0,3.83,0,0,0,0,0,0,1.53,0,0.77,1.53,6.89,0.77,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
