stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,13,0,3,0,0,3,0,0,0,1,0,0,0,7,0,0,0,77,5,1,1,2,0,0,13,1,10,23,0,0,0,0
 24-34,0,0,0.82,3.28,0,4.1,0.82,0,0,0.82,0,0,0.82,0,0,0,9.85,0,0,9.03,77.16,0.82,0.82,0,0,0,3.28,0,0,0,19.7,0,0,0,0
 36-46,0,0,0,1.61,0,10.47,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0.81,37.87,0,0,0.81,0,0,2.42,0,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,0,0,21.8,0,0.57,5.74,0,0,0.57,0,0,0,0.57,9.75,0.57,0.57,3.44,39.02,0,0,0,0,0,1.72,0,0,0,9.75,0,0,0,0.57
 60-70,0,0,0,1.96,0.98,15.7,0.98,0,4.91,0,0,0,1.96,0,0.98,0,11.78,0,0,0,28.46,0,0,0.98,0,0,0.98,0,0,0,5.89,0,0.98,0,0
 72-82,0,0,0,1.96,0,16.69,0,0,6.87,0,0,0,0,0,0,0,22.58,0,0,0.98,38.28,0,0,0,0,0,0.98,0,0.98,0,0.98,0.98,1.96,0,0
 84-94,0,0,0,1.06,0,5.31,1.06,1.06,2.12,1.06,0,0,0,0,0,0,14.87,0,0,1.06,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,8.74,0,1.09,2.19,0,0,0,1.09,0,1.09,0,18.58,0,0,0,15.3,2.19,0,0,0,0,3.28,0,0,0,1.09,0,0,0,0
108-118,0,0,0,3.83,0,3.83,0.77,0.77,5.36,0,0,0,0,0.77,0,0,11.49,0,0,1.53,16.09,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,11.76,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
