stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,immune,liver,melanocytes,mesenchyme,muscle,neural,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,9.85,0,0,0.82,0,0,0,0,4.1,0.82,0,0,0
 36-46,0,0,0,29.81,0,0,1.61,0,0,0.81,3.22,0,0,0,0,0
 48-58,0,0,0.57,31.56,0,0,0,0,1.15,0,2.3,0,0,1.15,0,0
 60-70,0,0,0,49.08,0.98,0,0.98,0,0,0,1.96,1.96,0,0,0,0.98
 72-82,0,0,0,45.16,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,40.36,0,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,21.86,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0.77,0,0,39.06,0.77,0,0,0,0.77,0,2.3,0.77,0,0,0,0
120,0,1.96,0,43.12,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0
