stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,neural,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,33.66,0,0,0.82,0,2.46,0,0,0,0,0.82,0,0,1.64
 36-46,0,0.81,0,0,0,0,59.62,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,46.48,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0.98,0.98,0,0.98,58.89,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,0.98,2.94,86.39,0.98,0,0,0.98,0.98,0,0,0,0.98,0.98,0.98,1.96,0
 84-94,0,0,0,0,0,8.5,89.21,0,0,0,0,1.06,0,0,0,0,0,3.19,1.06,0
 96-106,0,0,0,0,0,8.74,136.61,0,1.09,0,0,4.37,0,0,1.09,0,0,3.28,4.37,0
108-118,1.53,1.53,0,0,0,6.89,111.83,0,0.77,0,1.53,1.53,0,0.77,1.53,0,0,5.36,0.77,0
120,1.96,0,0,0,0,5.88,109.75,0,0,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0
