stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,257.44,4211.06,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,110.33,18.39,0,0,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,39.43,0,39.43,0,0,0,168.24,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,1779.64,55.2,0,0,546.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,0,15.73,0,9.44,0,138.47,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,981.85,34.62,0,0,327.28,0,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,6,5,38,21,0,25,0,0,0,7,3,2,1,0,0,0,0,6,1,25,0,0,16,385,5,2,4,9,2,1,45,9,5,37,115,0,0,2,0,0
 24-34,0,0,2.46,1.64,13.13,4.93,0,27.09,0,1.64,0.82,4.1,0.82,0,0,0.82,2.46,0.82,0,6.57,6.57,18.88,0,0,7.39,420.28,1.64,15.6,4.1,0,3.28,0,0.82,0.82,1.64,3.28,132.16,0,0,10.67,0,0.82
 36-46,0,0,3.22,0.81,1.61,0.81,0,16.11,0,0.81,0,7.25,0.81,0,0,1.61,0,1.61,0.81,2.42,7.25,8.86,0,0.81,7.25,630.03,0,16.11,0,0,1.61,0,0,0,0,0,158.72,0,0,0,0,4.03
 48-58,0,0.57,0.57,0,2.3,0,0,83.2,0.57,1.15,0.57,18.36,0.57,0,0.57,1.15,0,1.72,0.57,3.44,5.16,14.35,0,0.57,1.15,731.03,0,8.03,1.72,0,0.57,0,0,0,0,0,149.19,0,0,0.57,0,2.3
 60-70,0,0,0,0,2.94,0,0,214.95,0,0.98,0.98,39.26,0,0,0.98,2.94,0,2.94,0.98,0.98,0,19.63,0,0,0.98,1047.28,0,9.82,0.98,0,0,0,0,0.98,0,0,150.17,0,0.98,0.98,0.98,0
 72-82,0,0,2.94,0,7.85,1.96,0,281.74,0,0,0.98,60.86,2.94,0,0,7.85,0,0.98,0.98,0,0.98,21.6,0.98,0,2.94,999.33,0,13.74,4.91,0,0.98,0,0,0,0,0,81.48,1.96,0,3.93,1.96,3.93
 84-94,0,0,1.06,0,6.37,2.12,0,207.1,0,2.12,1.06,38.23,1.06,0,0,6.37,1.06,2.12,2.12,2.12,4.25,10.62,1.06,1.06,0,447.12,0,9.56,7.43,0,1.06,0,0,1.06,0,0,38.23,3.19,0,0,1.06,1.06
 96-106,0,0,1.09,0,7.65,3.28,0,187.97,0,1.09,0,37.16,2.19,0,2.19,5.46,1.09,1.09,0,2.19,2.19,13.11,0,1.09,0,390.15,0,18.58,12.02,0,4.37,0,0,2.19,0,0,21.86,4.37,0,3.28,1.09,1.09
108-118,0,0,2.3,0,6.13,1.53,0,108,0,0.77,1.53,36.77,1.53,0,0,2.3,0,5.36,1.53,4.6,3.06,10.72,0,0,0.77,458.05,0,6.13,7.66,0,0,1.53,0,0,0,0,14.55,3.83,0,2.3,0,0.77
120,0,0,1.96,0,7.84,5.88,1.96,97.99,1.96,0,0,54.87,0,0,1.96,11.76,1.96,3.92,0,1.96,0,21.56,0,0,0,605.57,0,15.68,11.76,0,9.8,0,0,0,0,0,11.76,1.96,3.92,0,0,1.96
