stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,3,0,0,0,0,0,0,0,4,0,0,1,1,1,0
 24-34,0,0.82,0,0,0,0,0.82,0.82,2.46,0,0,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,1.61,0,2.42,0,0,0,0,0,1.61
 48-58,0,1.15,0.57,0,0,0,1.72,0.57,2.87,0,0.57,0,0,0.57,0
 60-70,0,1.96,0.98,0,0.98,0.98,6.87,0.98,0.98,0,0,0,0,0,0
 72-82,0,1.96,0,0,0,0.98,1.96,0,1.96,0.98,0,0,0,0,0
 84-94,1.06,1.06,0,0,0,0,4.25,0,3.19,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,1.53,2.3,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0.77
120,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
