stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,2,0,0,1,0,0,0,0,3,0,0,16,1,0,0,0,0,0,3,1,2,5,0,2,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,7.39,0,2.46,9.03,0,0,0,0,0,0,0,0,0.82,2.46,0,4.1,0,0
 36-46,0,0,0,0,0,2.42,0,0,1.61,0.81,0,0,0.81,11.28,0,2.42,20.14,0,0,0,0,0,0,0,0,0,8.86,0,1.61,0,0
 48-58,0,0,0,0,0,1.15,0.57,0.57,2.3,0,0,0,0.57,14.92,0,4.02,7.46,0.57,0,0,0,0,0,0,0,0,2.87,0,0.57,0,1.15
 60-70,0,0,0,0,0,3.93,0,0,28.46,0,0,0,0.98,19.63,1.96,2.94,14.72,0,0,0,0,0,0,0,0,0,2.94,0,2.94,0,2.94
 72-82,0,0,0,0,0,0.98,0,0.98,23.56,0,0,0.98,0,32.39,0,3.93,7.85,0,0,0,0,0.98,0.98,0,0,0,2.94,0.98,5.89,0,0.98
 84-94,0,0,0,1.06,0,2.12,0,0,19.12,0,0,2.12,0,18.05,1.06,4.25,7.43,0,0,0,0,0,0,0,0,0,1.06,1.06,4.25,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,1.09,21.86,1.09,0,0,1.09,22.95,3.28,4.37,5.46,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,3.28
108-118,0,0,0,0,0,3.06,0.77,0.77,18.38,0,0.77,3.06,0.77,17.62,0.77,1.53,12.26,0,0.77,0,0,0,0,0,0,0,1.53,0.77,6.89,2.3,0.77
120,0,0,0,0,0,1.96,0,0,7.84,1.96,0,0,0,11.76,0,3.92,3.92,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
