stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,4,0,1,21,0,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0
 24-34,0,0,0.82,2.46,0.82,0,2.46,0,0,4.1,0,0,0.82,0,0,0,0,0.82,0,0.82,133.8,0,9.85,0,0,0,0.82,0,1.64,0,0,71.41,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,2.42,0,0,4.03,0,0,0.81,0,0,0,0,6.45,0,0.81,258.62,0,12.09,0,0,0,0.81,0,0,0,0,125.68,0,0,1.61,0,0
 48-58,0,0,0,0.57,0.57,0,35.58,1.15,0.57,13.77,0.57,0,0,0,0,0,0,13.2,0,1.72,369.53,0,2.3,0.57,0,0,2.3,0,0,0,0,141.73,0,0.57,0.57,0,1.72
 60-70,0,0,0,0.98,0,0,62.82,0.98,0,31.41,0,0,0,0,0,0,0,15.7,0.98,4.91,576.15,0,2.94,0.98,0,0,0.98,0,0,0.98,0,141.34,0,0.98,0,0,0
 72-82,0,0,0.98,5.89,1.96,0,98.17,0,1.96,69.7,2.94,0,0,0,0.98,0,0,30.43,0,5.89,660.66,0,10.8,2.94,0,0,0.98,0,0,0,0,100.13,0,1.96,1.96,1.96,1.96
 84-94,0,0,0,3.19,1.06,0,76.47,0,0,33.99,0,0,0,0,0,1.06,1.06,13.81,3.19,1.06,367.46,0,4.25,3.19,0,0,8.5,0,0,0,0,49.92,0,2.12,0,4.25,1.06
 96-106,0,0,1.09,2.19,2.19,1.09,65.57,1.09,0,42.62,1.09,1.09,1.09,0,0,1.09,1.09,21.86,3.28,2.19,292.88,0,9.84,4.37,0,0,2.19,1.09,0,1.09,0,26.23,1.09,0,0,3.28,2.19
108-118,0,0,0.77,3.83,0.77,0.77,63.57,1.53,0.77,33.7,1.53,0,2.3,2.3,0,0,0,13.79,0,0.77,351.58,1.53,8.43,3.83,0,0.77,1.53,0,0.77,0,0,21.45,0.77,0.77,2.3,0.77,0
120,0,0,0,9.8,1.96,0,97.99,0,3.92,31.36,1.96,0,3.92,0,0,0,0,17.64,5.88,1.96,433.11,0,5.88,9.8,0,0,0,0,0,0,0,33.32,0,1.96,0,0,0
