stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,7.89,2.63,0
 10-12,0,0,0,3.15,0,0,0,0,9.44,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61
 48-58,0,0.57,0,0.57,0.57,0,0.57,0.57,2.87,0,0.57
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0.98,0,0,0
 84-94,0,0,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0
