stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0.82,0,4.1,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,7.25,0,1.61,0,0.81,0,0,0,0,0,0,0,25.78,0,10.47,4.83,8.06,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,7.46,0,3.44,0.57,5.16,0,0,0,0,0,0.57,0,56.81,0,9.75,8.61,1.72,0,0.57,0,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,10.8,0,3.93,1.96,2.94,0,0,0,0,0,0.98,0,97.17,0,15.7,9.82,0,0.98,0,0,2.94,0,0,0,0,0,0.98,0,3.93,0
 72-82,0,15.71,0.98,16.69,0,3.93,0.98,0,1.96,0,3.93,0.98,0,147.25,0,17.67,19.63,0,0,0,0,7.85,0,0,0,0,0,3.93,0.98,17.67,0
 84-94,1.06,41.42,0,23.36,0,3.19,0,1.06,0,1.06,11.68,2.12,0,99.83,8.5,10.62,10.62,0,0,0,0,6.37,0,0,0,1.06,0,3.19,0,12.74,0
 96-106,0,50.27,0,6.56,1.09,4.37,3.28,1.09,1.09,0,10.93,3.28,0,144.26,2.19,7.65,16.39,1.09,1.09,2.19,0,14.21,0,1.09,0,0,1.09,3.28,0,13.11,0
108-118,0,53.62,0.77,17.62,2.3,0.77,2.3,0.77,0.77,0,11.49,1.53,0,130.98,0.77,3.83,16.09,1.53,1.53,1.53,0,16.85,0,0.77,0,0.77,0.77,5.36,0.77,16.09,0.77
120,0,45.08,0,7.84,1.96,0,1.96,0,1.96,0,0,0,1.96,113.67,1.96,1.96,3.92,0,0,1.96,0,7.84,0,0,0,0,0,1.96,0,9.8,0
