stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0.82,4.93,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,0.81,0.81,0,0,10.47,0,0,0,0,0,0,3.22,0,1.61
 48-58,0,0,0,0,4.59,0,0,0,0,0,0,0,1.15,0,0,15.49,0,0,0,0,0.57,0,1.72,0,0
 60-70,0,0,0.98,0,5.89,0,1.96,0,0,0,0,0,3.93,1.96,0,13.74,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,1.96,0.98,15.71,0,3.93,0,0.98,0.98,0.98,0,9.82,0,0,26.5,0,0,0,0.98,0,0,2.94,0,3.93
 84-94,0,0,1.06,0,6.37,0,1.06,1.06,0,0,1.06,0,2.12,1.06,0,16.99,0,1.06,0,0,0,0,1.06,0,2.12
 96-106,0,1.09,1.09,0,2.19,0,1.09,0,0,0,0,0,3.28,0,0,5.46,1.09,0,0,1.09,0,0,0,0,2.19
108-118,0,0,0.77,0,3.06,0,0.77,0.77,0,0,0,0,2.3,0,0,7.66,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,3.92,0,1.96,1.96,0,0,0,0,3.92,0,0,17.64,0,0,0,0,0,0,0,0,0
