stage,blastomeres,endoderm,exocrine.pancreas,eye,fin.epithelia,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites
  5-6,30.65,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,5.26,47.32,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,12.59,12.59,66.09,0,0,3.15
 14-21,0,1,0,0,0,0,0,0,0,0,0,3,2,23
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
