stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,36.78,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,28.32,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,46,1,0,0,1,0,42,0,4,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,2.46,24.63,4.93,0,0,0,0,0,71.41,1.64,15.6,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81,4.03,0,0,0.81,5.64,0,0,0,0.81,0,0,3.22,0,4.83,0,0
 48-58,0,0,0,0,0.57,5.16,0,4.02,0,0,0,0,0,0,0,0.57,0,0,2.3,0,0.57,0,4.59,0.57,0,0,2.87,0,0,1.15,0,1.72,0,0
 60-70,0,0,0,0,1.96,10.8,0,2.94,0,0.98,0,0,0.98,0,0,0,0,1.96,3.93,0,0,1.96,3.93,0,0,0,6.87,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,71.66,0,4.91,0,0,0,0.98,43.19,0,0,0,0,1.96,3.93,0.98,0,0.98,9.82,0,0,0,17.67,0,0,0,0,2.94,0.98,0.98
 84-94,0,0,0,0,4.25,39.3,0,1.06,1.06,7.43,0,0,91.34,0,0,1.06,0,0,1.06,0,0,0,8.5,0,0,0,35.05,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,24.04,55.74,0,2.19,0,6.56,0,2.19,173.76,0,1.09,5.46,0,2.19,10.93,2.19,1.09,1.09,33.88,0,0,0,93.98,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,19.15,42.89,3.06,1.53,0,9.96,1.53,1.53,271.15,0,1.53,0.77,0.77,3.06,3.06,0,1.53,1.53,35.23,0,0,0,62.04,0,0.77,0,0,0,1.53,0
120,0,0,0,0,9.8,19.6,0,7.84,0,11.76,0,0,94.07,0,1.96,5.88,0,0,3.92,0,0,1.96,13.72,0,0,0,68.59,0,0,0,0,1.96,1.96,1.96
