stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,0,2,0,0,0,0,1,0,0,0,0,3,0,9,15,0,0,2,0,0,12,144,816,8,0,0,0
 24-34,0,0,4.93,0.82,6.57,197.01,0,0.82,0,0,0,0.82,0,0,5.75,0,27.91,63.21,1.64,0.82,0,0,2.46,0.82,165.81,435.87,9.85,0,1.64,1.64
 36-46,0,0,0,0,8.86,269.09,0.81,0.81,0.81,0.81,0,0,0,0,1.61,0,15.31,49.15,0.81,0,0,0,4.03,0,118.43,29.81,8.86,0,0,0.81
 48-58,0,0,0,0,9.18,140.01,0,2.87,0,0,0.57,0,0,0,5.74,0,24.1,33.28,0,0.57,0,0,0.57,0,84.92,0,6.89,0.57,0.57,1.72
 60-70,0,0,0,0,7.85,78.52,0,0,0,0,0,0,0,0.98,5.89,0,27.48,13.74,0,0,0,0,1.96,0,46.13,0,2.94,0,0,0
 72-82,0,0,0,0,9.82,46.14,0.98,5.89,0,0,0,0,0,0,8.83,0,33.38,17.67,0,0.98,0.98,0,0.98,0,33.38,0,0,0,1.96,0
 84-94,0,0,0,3.19,6.37,59.47,0,2.12,0,0,1.06,0,1.06,0,4.25,0,37.17,11.68,0,0,0,1.06,2.12,0,41.42,0,1.06,1.06,0,0
 96-106,0,0,1.09,2.19,4.37,72.13,2.19,2.19,0,0,0,0,0,0,5.46,1.09,49.18,18.58,1.09,1.09,0,0,2.19,0,45.9,0,0,0,1.09,1.09
108-118,0,0,0.77,1.53,6.89,52.09,0,0.77,0,0,0,0,1.53,0,3.06,0.77,45.19,8.43,0,0,0,0.77,1.53,0,19.15,0,0,0,0,0
120,0,0,0,0,1.96,29.4,0,0,1.96,0,0,0,0,0,1.96,0,37.24,7.84,0,0,0,0,0,1.96,17.64,0,1.96,1.96,0,0
