stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,1,2,4,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,9.85,0.82,0,3.28,5.75,0,0,0,0,0,0,7.39,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0.81,0,0,0,0.81,0,0,0,7.25,0,0,0,0.81,0,0,0.81,3.22,0,0,0,0
 48-58,0,0,0,0,0,1.15,2.87,0,0.57,0,0,0.57,0.57,0.57,0.57,0,7.46,0,0,0,0,0,0.57,0,1.15,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0.98,0.98,0,1.96,0,0,0,1.96,0.98,0,1.96,7.85,0,0,0,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,0,0,8.83,0,0,0.98,3.93,0,0,0,11.78,0,0,0,7.85,0,0,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,11.68,2.12,5.31,1.06,5.31,0,0,0,24.43,1.06,1.06,0,4.25,0,0,0,0,1.06,3.19,0,0,0,0,0,2.12
 96-106,0,0,0,1.09,61.2,4.37,1.09,1.09,6.56,0,1.09,0,34.97,2.19,0,2.19,8.74,0,0,0,0,3.28,1.09,0,0,0,0,0,0
108-118,0,0,2.3,0.77,139.41,3.83,3.06,3.83,4.6,0.77,0,0,40.6,3.06,0,2.3,3.83,0,0.77,0,0.77,0,6.89,0,0,0.77,0,0.77,0
120,0,0,0,0,33.32,3.92,0,1.96,9.8,0,0,0,27.44,1.96,0,3.92,5.88,1.96,0,0,0,0,7.84,0,0,0,0,0,0
