stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,8,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,23.8,0,0,2.46,94.4,1.64,0,0,0.82,0,24.63,0,0.82,0
 36-46,0,0,2.42,0,4.83,0,0,0.81,0,0.81,0,0,0,0,0,0,0,70.09,0,0,3.22,215.11,0,0,0,0,0,33.03,0.81,1.61,0
 48-58,0,0,5.16,0,29.84,0,1.15,0.57,4.02,0,0.57,1.15,0,0,0,0,0,162.96,0,2.87,14.35,328.22,1.15,0.57,0.57,0,0.57,44.18,0.57,1.72,0.57
 60-70,0,0,9.82,0,65.76,0,0.98,0,0.98,0,0,0,0,0,0,0,0,240.47,0,7.85,8.83,281.7,0.98,0,1.96,0,0,36.32,3.93,0,2.94
 72-82,0,0,15.71,0,67.73,0,0,3.93,5.89,0,0,0.98,0,0,0,0.98,0,374.99,0,13.74,14.72,271.92,0,0,0.98,0.98,0,28.47,10.8,7.85,12.76
 84-94,1.06,0,36.11,0,45.67,0,8.5,1.06,4.25,0,0,1.06,0,1.06,0,0,0,264.45,0,11.68,19.12,128.51,0,1.06,1.06,1.06,0,30.8,7.43,6.37,7.43
 96-106,0,0,33.88,0,45.9,2.19,5.46,0,3.28,1.09,0,0,0,0,0,0,1.09,276.49,0,14.21,15.3,104.91,0,3.28,0,2.19,0,25.14,14.21,8.74,12.02
108-118,0,0.77,58.98,0.77,25.28,3.06,9.19,1.53,3.06,0,0,1.53,0.77,0,0.77,0,0,261.96,0.77,10.72,10.72,128.68,0,3.06,0.77,0.77,0,13.79,13.02,7.66,5.36
120,0,0,64.67,0,35.28,1.96,15.68,0,1.96,1.96,0,5.88,0,0,0,0,0,199.9,1.96,7.84,7.84,123.47,0,1.96,1.96,0,0,17.64,7.84,15.68,1.96
