stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,24,1,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0,2.46,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,111.64,0,7.39,0,0,0,0,0,33.66,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,22.56,0,0,0,3.22,0,0,0,0,0,0,0,0,3.22,0,3.22,317.43,0,6.45,0,0,0,0,0,63.65,0,0,0,0,0
 48-58,0,0,2.87,0.57,0,56.23,0,0.57,0.57,17.79,0,0,0,0,0,0.57,0,0,6.31,0,2.3,517,0,6.31,0,0,1.15,0,0,99.84,0,0,0,0,1.15
 60-70,0,0.98,0.98,0,0,206.12,0,0.98,0,38.28,0,0,0,0.98,0,0,0,0,8.83,0,1.96,1118.94,0,2.94,0,0.98,0,0,0,146.25,0,0.98,0,0,0.98
 72-82,0,0,9.82,0.98,0,348.49,0,0,2.94,53.99,1.96,0,0,0,0.98,0.98,0.98,0,18.65,0.98,1.96,1057.25,0,6.87,0,0,2.94,0,0,93.26,0.98,0,0.98,0,2.94
 84-94,0,0,4.25,0,0,281.44,0,2.12,0,36.11,2.12,0,1.06,0,1.06,1.06,0,0,8.5,0,2.12,612.8,0,6.37,1.06,0,1.06,0,0,42.48,1.06,2.12,1.06,2.12,0
 96-106,0,1.09,8.74,3.28,0,203.27,0,1.09,1.09,34.97,3.28,0,0,1.09,1.09,0,0,2.19,9.84,1.09,2.19,512.55,0,9.84,2.19,1.09,3.28,0,0,19.67,0,1.09,3.28,0,0
108-118,0,1.53,6.13,0.77,0,164.68,0,0,0.77,23.74,1.53,0,0,0.77,0,0,0.77,0.77,6.13,0,3.06,513.96,0,4.6,0.77,0,1.53,0.77,0,15.32,1.53,0,0.77,0,0.77
120,0,1.96,7.84,3.92,1.96,190.1,1.96,0,1.96,41.16,0,0,0,0,0,0,0,1.96,7.84,1.96,1.96,668.29,0,11.76,0,0,0,0,0,25.48,0,1.96,1.96,0,0
