stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,34.62,0,0,9.44,3.15,0,0,0
 14-21,0,0,0,1,2,0,1,0,3,2,20,0,1,1,1,1,5,0
 24-34,0,0,2.46,0,3.28,0,0,0,3.28,0,16.42,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,2.42,0,2.42,0.81,8.06,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0.57,0,0.57,0,1.72,0,5.74,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,1.96,0,2.94,0,3.93,0,4.91,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,1.96,3.93,0,4.91,0,3.93,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,4.25,0,2.12,0,1.06,0,4.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,2.19,0,3.28,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0,4.6,0.77,3.06,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,0,0,0
