stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,408.52,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,704.91,1967.61,0,30.65,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0,0,0,471.98,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,123.55,31.54,0,141.95,0,0,0,10.51,0,0,0,0,433.74,0,0,0,0,0,0,0,0,0,0,549.4,155.09,0,0,941.08,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,56.65,0,207.7,0,3.15,0,28.32,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,1154.94,103.85,0,0,928.36,0,0,6.29,0,116.44,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,4,177,0,0,47,18,0,8,2,0,0,0,0,0,3,0,33,1,0,26,262,51,0,20,33,0,2,0,220,1,2,28,177,0,0,0,0,0
 24-34,0,0,0,2.46,96.86,0,0,32.01,64.85,0,0.82,1.64,0.82,0,0,0,0,11.49,1.64,22.16,0.82,0,4.93,47.61,9.03,0.82,22.98,0,0,1.64,0,0,0,0,1.64,15.6,0,0,0,0,0
 36-46,0,0,0,0,26.59,0.81,0,16.92,27.39,0.81,0.81,2.42,0,0.81,0,0,0,8.06,2.42,24.98,0.81,3.22,2.42,35.45,1.61,1.61,8.06,0,0,1.61,0,0,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,26.97,0,0,20.08,29.26,5.16,2.87,1.72,0,0.57,0,0,0,3.44,0.57,40.74,0,1.15,2.87,49.92,0.57,0,5.16,0,0,0,0,0,0,0,0,8.03,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,14.72,0,0,17.67,28.46,2.94,0,0.98,0,0,0.98,0,0,0.98,0,35.33,0,7.85,0.98,37.3,0.98,0.98,1.96,0,0,0.98,0,0,0,0,0,2.94,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,8.83,0,0,25.52,26.5,8.83,2.94,0.98,0,0,0,0,0,2.94,0,31.41,0,7.85,1.96,73.62,0,0,1.96,0,0,2.94,0,0,0,0,0,5.89,1.96,1.96,1.96,0,0
 84-94,0,0,0,0,26.55,2.12,0,26.55,58.41,5.31,4.25,4.25,0,1.06,1.06,4.25,1.06,4.25,0,37.17,0,7.43,1.06,29.74,0,0,0,0,0,4.25,0,0,0,0,0,5.31,9.56,2.12,1.06,1.06,1.06
 96-106,0,0,1.09,0,27.32,0,0,33.88,76.5,8.74,7.65,1.09,0,0,0,1.09,0,3.28,0,37.16,1.09,10.93,0,32.79,0,0,1.09,0,0,0,0,0,0,0,0,1.09,14.21,3.28,1.09,3.28,1.09
108-118,0,0,0,0,21.45,0,0,19.92,96.51,9.19,5.36,1.53,0,0,0.77,0.77,3.06,1.53,0.77,22.21,1.53,6.89,0,58.21,0,0.77,1.53,0,1.53,3.06,0,0,0.77,0,0,1.53,13.02,0.77,3.06,1.53,0
120,0,0,0,0,27.44,0,1.96,29.4,74.47,1.96,7.84,0,0,0,0,0,0,0,3.92,33.32,1.96,5.88,0,43.12,0,0,0,0,0,1.96,0,0,0,0,0,0,9.8,0,3.92,0,0
