stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,456.31,15.73,0,0,135.32,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,43,240,26,0,305,1,0,11,3,0,0,0,8,0,4,0,2,96,1,0,58,931,66,0,20,32,0,3,188,0,0,178,271,0,0,0,1
 24-34,0,0,0,22.16,72.24,5.75,0,221.63,0.82,6.57,9.03,5.75,0,0,0,2.46,2.46,0.82,10.67,1.64,106.71,0,0,21.34,458.86,13.13,0,18.88,0,0,0,1.64,0.82,0.82,49.25,84.55,0,0,2.46,2.46
 36-46,0,0,0,1.61,18.53,0,0,62.84,0,8.06,8.06,0.81,0,0,0,0.81,0.81,1.61,4.03,0,37.06,0,0.81,12.09,161.13,3.22,0,5.64,0,0,3.22,0,0,0.81,0,16.92,0,0,2.42,0
 48-58,0,0,0,2.3,8.03,0,0,40.74,0,2.87,16.07,4.02,0,0.57,0,0,0.57,0,8.61,0.57,31.56,0,0.57,9.18,87.79,2.3,0.57,2.3,0,0,0.57,0,0.57,0,0,12.05,0,0,0,0.57
 60-70,0,0,0.98,0,14.72,0,0,18.65,0,4.91,17.67,2.94,0,1.96,0,0.98,0.98,0.98,4.91,0,35.33,0,0.98,7.85,44.17,5.89,0,1.96,0,0,0,0,0,0,0,6.87,0.98,0,0,0
 72-82,0,0,0.98,0,13.74,0,0,40.25,0,0.98,31.41,7.85,0,0,0,3.93,0,0,4.91,0,63.81,0,0,11.78,53.01,0,0,3.93,0,0,0.98,0,0.98,0,0,3.93,0,0.98,1.96,0
 84-94,0,0,2.12,0,10.62,0,5.31,31.86,0,5.31,12.74,9.56,0,0,0,4.25,1.06,0,10.62,0,46.73,0,1.06,6.37,40.36,1.06,0,2.12,0,0,0,0,0,0,0,3.19,0,1.06,1.06,0
 96-106,0,0,2.19,0,29.51,2.19,6.56,40.44,1.09,4.37,14.21,18.58,0,1.09,1.09,6.56,0,0,25.14,0,46.99,0,2.19,10.93,74.31,7.65,3.28,10.93,0,0,1.09,0,0,0,0,0,4.37,0,2.19,0
108-118,0,0,0.77,0,32.94,0,0.77,31.4,1.53,3.06,18.38,1.53,0,0,0,3.06,0,0,6.13,0,27.57,0,0,13.79,55.92,6.13,0.77,3.06,0,0.77,0.77,0,0,0,0,2.3,3.83,0,0,0
120,1.96,0,0,0,29.4,1.96,0,41.16,1.96,1.96,11.76,0,0,0,1.96,1.96,0,0,1.96,0,17.64,0,1.96,7.84,78.39,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0
