stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,1436.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,686.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,23.66,0,0,47.32,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,381.16,21.03,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,47.2,0,6.29,94.41,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,805.62,31.47,0,0,220.29,0,0,3.15,40.91,0,0,0,0,0,0,0
 14-21,0,0,1,4,78,14,33,0,0,0,13,2,2,1,1,6,0,0,1,2,24,0,0,24,381,9,3,4,13,0,9,59,2,3,62,122,0,0,4,3
 24-34,0,0,0.82,0,3.28,0.82,19.7,0,0.82,0,3.28,0,0.82,0.82,2.46,1.64,0,0.82,0.82,1.64,9.85,0,0,5.75,81.26,0.82,1.64,0,0,0,16.42,0,2.46,0.82,4.93,34.48,0,0,4.93,0.82
 36-46,0,0,0,0,2.42,0,15.31,0,0.81,0,2.42,0.81,0,0,0.81,0.81,0,0,0,0,8.86,0,0,0,42.7,0,0,0,0,0,12.89,0,0.81,0,0,11.28,0,0,0.81,0.81
 48-58,0,0,0,0,3.44,0,10.9,0,0,0,2.87,0,0,0,0.57,0.57,0,0,0,0.57,7.46,0,0,1.72,34.43,0,0,0,0,0,5.74,0,0,0,0,8.61,0,0,4.59,1.15
 60-70,0,0,0,0,2.94,0,17.67,0.98,0,1.96,4.91,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,24.54,0.98,0,0,0,0,9.82,0,0.98,0.98,0,4.91,0,0,0.98,0
 72-82,0,0,0.98,0,5.89,2.94,32.39,0,0.98,0.98,3.93,3.93,0,0,4.91,0.98,0,0,0.98,0,19.63,0,0,1.96,41.23,0.98,0,0.98,0,0,5.89,0,1.96,0,0,4.91,0.98,0,5.89,0.98
 84-94,0,0,0,0,9.56,2.12,21.24,0,1.06,2.12,4.25,1.06,0,1.06,13.81,3.19,3.19,0,1.06,1.06,12.74,1.06,0,3.19,15.93,1.06,3.19,1.06,0,0,33.99,0,1.06,0,0,1.06,1.06,1.06,2.12,2.12
 96-106,0,0,1.09,0,12.02,0,14.21,0,2.19,0,7.65,1.09,0,2.19,9.84,0,2.19,0,2.19,0,6.56,0,1.09,1.09,8.74,1.09,2.19,1.09,0,0,7.65,0,1.09,1.09,0,0,1.09,1.09,9.84,2.19
108-118,0,0,0.77,0,13.02,5.36,27.57,0,1.53,0.77,6.13,3.06,0,0,9.19,5.36,2.3,1.53,3.83,0,8.43,0,0,3.06,28.34,3.83,0.77,1.53,0,0.77,26.81,0,1.53,0.77,0,0.77,0.77,0,5.36,0.77
120,0,0,0,0,5.88,3.92,9.8,0,1.96,0,5.88,3.92,0,0,9.8,3.92,1.96,0,1.96,0,9.8,0,0,3.92,19.6,0,0,1.96,0,0,21.56,0,3.92,0,0,0,1.96,0,0,0
