stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,10.51,0,0,55.2,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,7,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,9,397,1,6,1,1,0,16,0,1,0,1,2,232,0,0,0,0,0
 24-34,0,0,4.1,9.85,1.64,0,28.73,0,1.64,1.64,4.93,0.82,0,0,0,0,0,0.82,0.82,0.82,20.52,0.82,0,4.1,2036.54,1.64,60.74,0.82,0,0,20.52,0,0,0.82,0,0,600.05,0,0,1.64,0,0
 36-46,0,0,2.42,6.45,0.81,0,126.49,0,1.61,0.81,21.75,1.61,0,1.61,2.42,0,0,0.81,0,1.61,26.59,0,1.61,11.28,4756.67,1.61,74.12,2.42,0,0,7.25,0.81,0,1.61,1.61,0,1082.01,0,0,4.03,0,1.61
 48-58,0.57,0,1.72,21.8,1.72,0,741.36,0.57,5.16,4.02,104.43,0,0,1.15,2.3,0,2.87,3.44,1.15,2.3,64.84,1.15,4.59,14.35,6346.86,2.87,59.68,4.02,0,1.72,10.9,0,0,1.15,2.3,0,1231.39,0,1.15,3.44,0,7.46
 60-70,0,0,1.96,14.72,3.93,0,2121.07,3.93,3.93,2.94,106,0,0,1.96,2.94,0,4.91,2.94,0.98,0,74.6,0,7.85,4.91,7229.89,0,62.82,3.93,0,0.98,11.78,0,0,1.96,0,0,1019.8,0,0.98,0.98,4.91,5.89
 72-82,0,0,3.93,60.86,9.82,0,2441.39,0.98,2.94,7.85,219.89,1.96,0.98,2.94,3.93,1.96,6.87,2.94,0,2.94,131.54,0,7.85,13.74,6236.5,3.93,112.89,8.83,0,0.98,14.72,0.98,0,1.96,0,0,518.32,4.91,2.94,9.82,13.74,2.94
 84-94,0,0,5.31,94.52,8.5,0,1510.22,3.19,7.43,7.43,180.55,10.62,0,3.19,4.25,5.31,15.93,2.12,0,1.06,96.65,1.06,11.68,9.56,3262.58,3.19,115.76,9.56,0,0,29.74,0,0,1.06,2.12,0,313.3,4.25,5.31,6.37,5.31,1.06
 96-106,0,0,3.28,96.17,14.21,1.09,1133.28,4.37,9.84,3.28,168.3,6.56,0,5.46,8.74,2.19,9.84,6.56,6.56,0,98.36,2.19,5.46,7.65,2785.67,2.19,190.16,8.74,0,1.09,32.79,0,0,2.19,0,0,132.23,2.19,4.37,8.74,6.56,3.28
108-118,0,0,5.36,51.32,6.89,1.53,796.6,2.3,0.77,2.3,94.21,5.36,0,0.77,3.06,2.3,24.51,3.83,3.83,0,51.32,1.53,3.83,9.19,3348.02,3.83,122.55,5.36,0,0,16.85,0.77,0,0.77,0,0,101.11,2.3,0,6.89,4.6,2.3
120,0,0,1.96,47.03,1.96,1.96,609.49,3.92,1.96,1.96,74.47,3.92,0,0,5.88,5.88,13.72,0,1.96,0,54.87,3.92,3.92,7.84,3443.34,5.88,70.55,3.92,0,0,13.72,1.96,0,3.92,0,0,111.71,0,1.96,5.88,0,5.88
