stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,14,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,69.77,0,1.64,0,0,0,30.37,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,197.39,0.81,1.61,0,0,0,41.09,0,0,0,0,0
 48-58,0,0,0,0.57,25.82,0,0,0.57,0,0,1.15,0,0,0.57,265.67,0,1.72,0.57,0,1.15,45.9,0,0,1.15,0,0
 60-70,0,0,1.96,0,101.1,0.98,0,2.94,0,0.98,3.93,0,0,0,420.09,0,1.96,0,0,1.96,58.89,0,0.98,0,0,0
 72-82,0,0,3.93,0,179.64,0,0,12.76,0,0,5.89,0,0.98,1.96,450.58,0,3.93,0,0,0.98,37.3,0,1.96,0.98,4.91,0.98
 84-94,0,0,4.25,0,107.27,1.06,0,9.56,0,0,4.25,0,1.06,0,232.59,0,5.31,1.06,0,2.12,22.3,0,1.06,0,2.12,0
 96-106,0,0,1.09,0,113.66,2.19,0,12.02,0,0,3.28,1.09,1.09,0,256.82,0,3.28,0,0,0,12.02,1.09,0,1.09,6.56,0
108-118,0,0,2.3,0,107.23,0,1.53,11.49,1.53,0,6.89,0,0,0.77,262.73,0,3.06,0,0.77,0,6.13,1.53,0,0,8.43,0.77
120,0,0,1.96,0,60.75,0,0,19.6,1.96,0,5.88,0,0,0,258.69,0,0,0,1.96,1.96,19.6,0,0,0,13.72,0
