stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,36.8,0,0,0,18.4,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,4.93,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,4.02,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,4.59,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,74.6,0,0,0,2.94,0.98,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,378.92,0,0.98,0.98,1.96,0,0,0,0,0.98,0,7.85,0,0,14.72,0,0.98,0,0,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,347.29,0,0,0,0,0,0,0,0,0,0,1.06,1.06,1.06,10.62,0,0,0,0,0,3.19,0,0,0,0,1.06,0
 96-106,0,0,0,5.46,2.19,418.56,1.09,0,0,2.19,0,0,0,1.09,0,1.09,6.56,0,0,9.84,0,0,0,0,0,2.19,0,1.09,0,0,4.37,2.19
108-118,0,0,0,2.3,0,297.96,0,0,0.77,3.83,0,0,0,0,0,0.77,3.06,0,0,11.49,0,0.77,0.77,0,0,3.83,0,0,0,0,0,0
120,0,0,0,9.8,1.96,354.72,0,1.96,0,5.88,0,0,0,1.96,0,0,5.88,0,1.96,13.72,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0
