stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,4.59,0,0,0,0,0,0,0,0,1.72,0,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,4.91,0,0,1.96,0.98,0,0.98,0.98,0,3.93,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,7.85,0.98,0,0.98,0,0,3.93,0,0,17.67,1.96,0,0,4.91,0.98,0,0,2.94,0.98,0,0
 84-94,0,23.36,2.12,0,3.19,1.06,0,4.25,0,0,79.65,1.06,0,0,5.31,0,0,0,7.43,0,0,1.06
 96-106,1.09,12.02,3.28,1.09,4.37,0,2.19,3.28,1.09,1.09,116.93,3.28,1.09,0,18.58,0,0,3.28,8.74,0,1.09,0
108-118,0,14.55,0,0,1.53,0.77,0,0,0.77,0.77,233.62,2.3,0,0.77,16.85,0,0,2.3,7.66,0.77,0,0
120,0,11.76,0,0,1.96,0,1.96,1.96,0,0,109.75,1.96,0,1.96,7.84,0,0,0,15.68,0,0,0
