stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,2.19,0,0,1.09,0,4.37,0,0,2.19,0,0,0,0,4.37,0,0,0,0,0
108-118,0.77,0,0,0,0,0,0.77,0.77,0.77,0.77,0,1.53,0,0,0.77,0,0,0,0,3.06,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96
