stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,0,1,0,0,0,1,5,0,1,0,0,0,2,0,0,1,0,0,1,20,0,0,0,0,0,1,0,2,1,1,9,18,0,0,0,0,0
 24-34,0,0,4.93,0,0,3.28,0,0.82,0,2.46,0,0,0.82,0,0.82,0,19.7,0,0.82,6.57,0,0,0.82,63.21,0,10.67,3.28,0,0,2.46,0,0,0.82,0,0.82,17.24,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,7.25,0,0,0,5.64,0,0,0.81,0,0,0,12.09,0,0,38.67,0,0,0.81,226.39,0,21.75,0.81,0,0,1.61,0,0,1.61,0,0,28.2,0,0,16.11,0,0
 48-58,0,0,3.44,0,0,29.26,0.57,1.15,0,7.46,0,0,2.87,0,1.15,0,21.23,0,0.57,42.46,0,0.57,1.15,257.64,0,17.21,5.16,0,0.57,1.72,0,0,1.15,0.57,0,39.02,0,0,33.85,0,0
 60-70,0,0,0.98,0,0,55.95,0,1.96,0,33.37,0,0,3.93,0,0,0,22.58,0,0,66.74,0,0,0,263.05,0,10.8,7.85,0,3.93,4.91,0,0,0.98,0.98,0,16.69,0,0,37.3,0,0.98
 72-82,0,2.94,2.94,0,0,121.73,0,0,1.96,53.01,1.96,0,8.83,1.96,0,0.98,37.3,0,0.98,75.59,0,1.96,2.94,276.83,0,22.58,26.5,0,1.96,4.91,0.98,0,2.94,0,0,19.63,0.98,0.98,74.61,0,0
 84-94,0,2.12,5.31,1.06,0,78.59,0,0,0,44.61,0,0,6.37,2.12,3.19,1.06,40.36,0,0,36.11,0,2.12,1.06,148.69,0,14.87,24.43,0,5.31,6.37,0,0,2.12,0,0,8.5,0,1.06,44.61,0,0
 96-106,0,0,7.65,0,1.09,108.19,0,1.09,1.09,52.46,0,0,6.56,2.19,1.09,2.19,78.68,0,0,60.11,1.09,1.09,3.28,147.53,0,21.86,24.04,0,5.46,9.84,0,0,2.19,0,0,4.37,0,0,64.48,1.09,0
108-118,0,0,6.89,3.06,0,85.79,0,1.53,0,46.72,0,0,3.06,0.77,8.43,0.77,57.45,0.77,0,38.3,0,1.53,1.53,146.3,0.77,17.62,19.15,0,3.06,6.89,0,0,2.3,0,0,4.6,1.53,0,40.6,0,0
120,0,0,7.84,0,0,54.87,0,3.92,0,21.56,1.96,0,1.96,1.96,1.96,0,25.48,0,0,23.52,0,0,3.92,199.9,1.96,7.84,3.92,0,1.96,13.72,1.96,0,0,0,0,5.88,0,0,33.32,0,0
