stage,endocrine.pancreas,epidermis,eye,glial,gut,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,5.26,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,2
 24-34,0,0.82,0,0,0,0,0,4.93,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,24.98,1.61,0,0,0,6.45
 48-58,0,0,0.57,0,0,0,0,39.02,0.57,0,0,0,3.44
 60-70,0,0,5.89,0,0.98,0.98,0,28.46,7.85,0,0,0,3.93
 72-82,0,0,15.71,1.96,0,0,0,55.95,1.96,0.98,0,0,5.89
 84-94,1.06,1.06,6.37,1.06,0,0,1.06,11.68,8.5,0,0,0,0
 96-106,1.09,1.09,4.37,0,0,1.09,0,20.76,4.37,0,0,2.19,0
108-118,0.77,0.77,0,0.77,0,0.77,0,11.49,3.83,0,0,3.06,0.77
120,0,0,0,1.96,0,0,0,7.84,7.84,0,0,3.92,0
