stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,2,1,1,0,0,0,2,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,1.64,41.04,0,0.82,1.64,1.64,0,0,0.82,1.64,6.57,0,0,0,0
 36-46,0,2.42,0,0,9.67,0,0,0,3.22,0,0.81,0,0,0,0,3.22,0,12.09,0,0,4.03,104.74,0.81,4.03,1.61,0,0,0,0,0,15.31,0,0,0.81,0
 48-58,0,1.72,0,0,19.51,0,0,1.15,5.16,0.57,0,0,0,0.57,0,0,0,9.75,0,0,2.87,77.46,0.57,3.44,1.15,0,0,0,0.57,0,9.18,0,0,0.57,0
 60-70,0,0.98,0,0,47.11,0,0.98,1.96,5.89,0,0,0,0,0,0,0,0,22.58,0.98,0,1.96,103.06,0,5.89,1.96,0,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,5.89,0,0,19.63,0,0,0.98,4.91,0,0,0.98,0,0,0,0,0,19.63,1.96,0.98,2.94,35.34,0,6.87,1.96,0.98,0,0.98,0,0,0.98,0,0.98,0,0.98
 84-94,0,4.25,0,0,24.43,0,0,1.06,1.06,2.12,0,0,1.06,0,0,1.06,0,19.12,0,2.12,1.06,25.49,0,22.3,0,1.06,0,0,0,0,3.19,0,0,1.06,0
 96-106,0,1.09,1.09,0,14.21,0,0,3.28,6.56,3.28,0,0,1.09,1.09,1.09,0,0,12.02,0,2.19,2.19,22.95,0,22.95,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0.77,3.83,1.53,1.53,11.49,0.77,0,0,0.77,0,0,0,0,0,0.77,0,2.3,9.96,0.77,0.77,2.3,36,0,18.38,1.53,0,0,0,0,0,0,1.53,0.77,0.77,0
120,0,5.88,0,0,13.72,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,0,17.64,0,0,0,13.72,0,9.8,3.92,0,0,0,0,0,0,0,0,0,1.96
