stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,5,24,293,75,0,153,0,1,0,47,18,9,3,1,7,0,1,2,5,149,1,0,132,1952,57,16,28,72,0,21,13,298,31,21,340,697,0,0,14,0,1
 24-34,0,4.93,9.85,99.32,13.13,0,305.36,0,9.03,7.39,72.24,4.1,0.82,2.46,3.28,13.13,3.28,9.85,3.28,9.03,246.26,4.1,0.82,105.07,3372.9,15.6,41.04,42.68,0,0,77.16,0,2.46,13.13,3.28,60.74,760.93,0,0,38.58,0,11.49
 36-46,0,0.81,0,37.06,3.22,0,680.79,0.81,1.61,10.47,126.49,4.03,0.81,7.25,4.03,4.83,4.03,4.83,7.25,5.64,267.48,0.81,4.03,72.51,4173.37,12.89,34.64,17.72,0,0,42.7,2.42,1.61,8.86,3.22,0,864.48,0,0.81,27.39,0,5.64
 48-58,0,0,0,36.72,4.02,0,1062.69,5.16,8.61,14.35,181.9,2.87,3.44,7.46,4.02,1.15,3.44,6.89,1.15,4.02,335.1,2.87,12.62,51.07,3646.53,6.89,25.25,17.79,0,2.3,35.58,0.57,0,1.72,1.15,0,696.6,0,1.72,17.79,0,13.2
 60-70,0,1.96,0,33.37,12.76,0,1375.11,1.96,11.78,9.82,177.66,4.91,0.98,0.98,6.87,7.85,2.94,5.89,0.98,0.98,341.57,1.96,12.76,49.08,3181.11,5.89,17.67,7.85,0,1.96,24.54,0,0,5.89,0.98,0,407.33,1.96,16.69,23.56,3.93,12.76
 72-82,0,7.85,0.98,55.95,39.27,0.98,1059.21,2.94,6.87,23.56,187.5,8.83,0.98,8.83,20.61,7.85,4.91,8.83,1.96,1.96,498.68,8.83,20.61,53.01,2223.46,0.98,28.47,26.5,0,9.82,37.3,0.98,0,4.91,0,0,196.33,5.89,10.8,33.38,12.76,10.8
 84-94,0,6.37,1.06,100.89,47.79,3.19,710.5,2.12,10.62,13.81,137,15.93,0,6.37,20.18,16.99,14.87,9.56,0,7.43,350.47,3.19,20.18,41.42,1099.21,12.74,14.87,18.05,0,2.12,114.7,0,0,5.31,1.06,0,129.57,10.62,19.12,37.17,6.37,8.5
 96-106,0,5.46,1.09,123.49,49.18,4.37,550.79,5.46,16.39,16.39,149.72,30.6,0,5.46,36.06,25.14,17.49,22.95,5.46,5.46,363.92,4.37,12.02,42.62,952.96,6.56,36.06,34.97,0,3.28,123.49,1.09,0,4.37,1.09,0,59.01,17.49,18.58,51.36,18.58,3.28
108-118,0,3.06,0.77,102.64,41.36,5.36,444.26,1.53,16.09,17.62,121.02,26.81,0,2.3,31.4,13.02,13.79,8.43,4.6,6.89,261.96,5.36,9.96,36.77,1206.39,12.26,26.81,42.13,0,6.89,91.92,0.77,0,3.06,1.53,0,44.43,20.68,6.13,31.4,10.72,10.72
120,0,1.96,0,121.51,43.12,3.92,344.92,7.84,21.56,7.84,88.19,21.56,0,1.96,43.12,7.84,3.92,7.84,3.92,1.96,252.81,7.84,13.72,39.2,874.06,13.72,17.64,35.28,0,3.92,88.19,0,0,7.84,0,0,25.48,9.8,1.96,23.52,13.72,5.88
