stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0
 24-34,0,0.82,2.46,0,0,0,0,1.64,0,0,25.45,0,0,5.75,0,0
 36-46,0,0,8.86,0,0.81,0,0,1.61,0,0,48.34,0,0,8.06,0,0
 48-58,0,0,7.46,0,0.57,0.57,0,1.72,0,1.15,67.71,0,0,5.16,0,0
 60-70,0,0,4.91,0,0,0,0,3.93,0,0,71.65,0,0,8.83,0,0.98
 72-82,0,0,5.89,0.98,1.96,0,0.98,8.83,0,0,64.79,0,0,2.94,0,0
 84-94,0,1.06,1.06,0,1.06,0,0,6.37,0,1.06,30.8,2.12,0,2.12,0,0
 96-106,0,1.09,2.19,0,1.09,0,0,6.56,1.09,0,27.32,1.09,0,1.09,1.09,0
108-118,0,0.77,6.13,0,0,0,0,5.36,0,0,33.7,0.77,0,0,0,0
120,0,1.96,3.92,0,1.96,0,0,1.96,0,0,13.72,0,0,0,0,0
