stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,66.09,0,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,2,6,5,0,0,68,0,0,0,8,0,1,44,1,0,5,1,0,0,60,0,183,0
 24-34,0,0,0,0,2.46,0,3.28,0.82,49.25,0,0,0,1.64,0,1.64,50.07,0.82,12.31,0,0,0,0,8.21,0.82,122.31,0
 36-46,0,0,0,0,0,0,1.61,0,49.95,0,0,0,1.61,0,0,53.98,0,16.11,0.81,0,0,0,4.83,0,103.93,0
 48-58,0,0,0,0,0.57,0,4.02,0,21.8,0,0,0.57,1.15,0,0,21.8,0,10.9,0.57,0,0,1.15,0.57,0,59.68,0
 60-70,0,0,0,0,0,0,1.96,0,27.48,0,0,0,1.96,0,1.96,27.48,0,12.76,0,0,0,0,1.96,0,24.54,0.98
 72-82,0,0,3.93,0,0,0,5.89,0,19.63,2.94,0,0,2.94,0,0,19.63,0,19.63,1.96,0,0,0,0.98,0,16.69,0
 84-94,0,0,1.06,0,0,0,7.43,0,19.12,1.06,1.06,0,6.37,0,0,18.05,0,19.12,5.31,0,0,0,5.31,0,19.12,0
 96-106,0,0,0,0,0,0,0,0,12.02,1.09,3.28,0,3.28,0,0,8.74,0,27.32,8.74,0,1.09,0,1.09,0,10.93,0
108-118,0,0,0,0.77,1.53,0,2.3,0,15.32,0,2.3,0,0.77,0.77,0.77,13.79,0,16.09,4.6,0,0.77,0,3.83,0,6.89,0
120,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,7.84,0,5.88,1.96,0,0,0,1.96,0,7.84,0
