stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,2.46,0,0,0,0,1.64,0,0,0,0,0,0,4.1,0,2.46,0,0,2.46,14.78,0,0,0,0,0,0,0,3.28,0,13.13,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81,20.14,0,2.42,0,0,0,0,9.67,0,3.22,0,0.81,0.81,10.47,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,1.15,0,18.94,0,0.57,0.57,1.15,62.54,0,2.87,0,0.57,0,0,7.46,0,3.44,0.57,0,0,32.71,0,0,1.15,0,1.72,0,0,0,0,4.59,0,0,0,0,0.57
 60-70,0,0,3.93,0,3.93,1.96,0,53.98,0,0,0.98,9.82,134.47,0,0.98,1.96,0,0.98,0,15.7,1.96,24.54,0,0.98,0.98,69.69,0,0.98,0.98,0.98,6.87,0,0.98,0,0,13.74,0,0,3.93,0,2.94
 72-82,0,0,12.76,0.98,15.71,16.69,0,156.08,1.96,3.93,9.82,25.52,286.65,0.98,1.96,7.85,0.98,2.94,3.93,11.78,0.98,99.15,4.91,7.85,8.83,343.58,0.98,0.98,2.94,5.89,26.5,0,0,0.98,0,18.65,2.94,2.94,15.71,3.93,6.87
 84-94,0,0,10.62,4.25,18.05,27.61,1.06,100.89,4.25,4.25,4.25,25.49,546.95,0,9.56,7.43,1.06,2.12,3.19,20.18,0,77.53,2.12,14.87,4.25,216.66,1.06,3.19,9.56,3.19,54.16,0,3.19,1.06,0,11.68,2.12,1.06,11.68,6.37,8.5
 96-106,0,0,13.11,12.02,33.88,38.25,1.09,144.26,5.46,9.84,8.74,57.92,692.86,0,5.46,13.11,8.74,7.65,8.74,24.04,1.09,114.75,7.65,16.39,20.76,391.24,2.19,16.39,18.58,7.65,83.06,0,1.09,0,0,13.11,7.65,5.46,20.76,13.11,10.93
108-118,0,0,9.96,18.38,39.83,29.87,5.36,104.94,3.83,6.13,5.36,28.34,748.35,0,6.89,6.13,6.13,6.13,2.3,14.55,0.77,93.45,5.36,20.68,16.09,315.58,3.06,4.6,2.3,3.83,42.89,0.77,2.3,1.53,0,6.89,4.6,2.3,15.32,6.13,6.13
120,1.96,0,5.88,7.84,23.52,47.03,3.92,58.79,1.96,5.88,7.84,29.4,591.86,0,7.84,11.76,1.96,1.96,1.96,19.6,1.96,37.24,3.92,19.6,7.84,266.53,0,3.92,1.96,5.88,25.48,0,1.96,1.96,0,5.88,1.96,0,5.88,1.96,0
