stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,4,47,9,26,0,0,0,9,1,0,2,0,0,0,0,0,2,30,0,0,23,406,2,2,5,6,0,6,32,0,25,109,0,0,4,0
 24-34,0,0,0,0.82,8.21,0.82,40.22,0,0,0,5.75,0,0,0,0,0,0,2.46,0,0,32.83,0,0,13.13,362.82,2.46,1.64,4.93,0,0.82,23.8,0,0.82,4.93,76.34,0,0,5.75,0
 36-46,0,0,0,0.81,1.61,0,58.81,0,0.81,1.61,8.06,0,0,0.81,0,0,0.81,0.81,0,0.81,28.2,0,0,7.25,219.14,0,1.61,0,0,0,16.11,0,0,0,59.62,0,0,4.83,0
 48-58,0.57,0,1.15,0,3.44,0,93.53,0.57,1.72,2.87,29.26,0,0,1.15,1.15,0.57,0,1.15,0,0,48.77,0,2.87,9.18,158.37,0,1.15,2.3,0,0,11.48,0,0,0,43.04,0,0,3.44,0
 60-70,0,0,0,0,2.94,0,76.56,0,0.98,0,13.74,0,0,0,1.96,0,0.98,0,0,0,25.52,0,2.94,7.85,101.1,0.98,0,1.96,0,0,12.76,0,0,0,21.59,0,0,1.96,0.98
 72-82,0,0,0.98,0,6.87,0.98,40.25,0.98,0.98,1.96,33.38,0,0,0,1.96,0,0.98,0,0,0,46.14,0.98,3.93,7.85,80.5,0,0.98,1.96,0,0.98,17.67,0,0.98,0,8.83,0.98,2.94,2.94,0
 84-94,0,0,0,0,4.25,0,22.3,0,0,2.12,9.56,1.06,0,0,3.19,0,0,1.06,1.06,0,27.61,0,1.06,2.12,32.92,0,0,2.12,0,0,24.43,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,8.74,0,22.95,0,0,2.19,18.58,1.09,0,1.09,1.09,0,0,0,0,0,30.6,1.09,1.09,3.28,37.16,2.19,3.28,1.09,0,0,56.83,0,0,0,5.46,0,1.09,3.28,0
108-118,0,0,0,0,5.36,0,18.38,0,1.53,1.53,9.19,0.77,0,0.77,3.06,1.53,0,0.77,0.77,0,18.38,0.77,1.53,6.13,48.26,0.77,0.77,0.77,0,0,30.64,0,0,0,0.77,0.77,0.77,4.6,0.77
120,0,0,0,0,3.92,0,25.48,0,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,19.6,1.96,0,1.96,31.36,0,1.96,0,0,0,23.52,0,0,0,0,0,0,0,0
