stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,10.47,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,1.15,32.13,0,0,0,0,0,1.72,0,0,0.57,2.3,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,4.91,0,0,0,8.83,0,1.96,81.47,0,0,0,0,0,2.94,0.98,0,0,10.8,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,21.6,2.94,7.85,0.98,15.71,0,6.87,247.38,0,0.98,0.98,0,0.98,5.89,9.82,0,0,67.73,0.98,0.98,0,0.98,4.91,0,1.96,0,0,0.98,0.98,0
 84-94,0,20.18,6.37,1.06,0,7.43,1.06,4.25,429.06,1.06,1.06,1.06,1.06,0,13.81,4.25,0,0,41.42,0,0,1.06,0,9.56,0,3.19,0,1.06,0,0,0
 96-106,0,24.04,14.21,2.19,3.28,21.86,0,5.46,537.68,1.09,1.09,1.09,0,1.09,13.11,21.86,0,2.19,96.17,1.09,1.09,1.09,0,10.93,1.09,1.09,2.19,0,3.28,0,0
108-118,0,13.02,13.79,3.06,1.53,6.89,0,3.83,578.3,0,0,0,0,1.53,16.85,11.49,0.77,0,87.32,0,0,0,0,0.77,0,0,0.77,0,0.77,0.77,0.77
120,0,7.84,5.88,1.96,3.92,9.8,0,1.96,374.32,0,3.92,0,0,0,19.6,9.8,0,0,76.43,0,0,0,0,1.96,0,0,0,0,0,1.96,0
