stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,22,1,3,0,0,0,1,3,0,0,0,0,0,13,0,0,12,29,1,0,0,0,0,3,1,2,21,19,0,0,0,0,0
 24-34,0,0,0.82,7.39,0,3.28,0,1.64,0,2.46,0,0.82,0,0,0,0.82,13.13,0,0,2.46,48.43,0.82,1.64,1.64,0,0,2.46,0,0.82,4.93,14.78,0,0,1.64,0,0
 36-46,0,0,0,3.22,0,12.09,0,0.81,0.81,4.03,0,0,0,0,0,1.61,21.75,0,0,3.22,35.45,0.81,4.03,1.61,0,0.81,0.81,0,0,0,13.7,0,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,76.32,0,0.57,1.15,6.31,0.57,0,0,0,0,0,16.07,0.57,1.15,1.15,47.63,0.57,0,1.15,0,0,0,0,0,0,14.92,0,0.57,2.3,0,0.57
 60-70,0,0,0,0,0,148.21,0,0.98,0,7.85,0,0,0,0,0.98,1.96,18.65,0,0,0,41.22,1.96,0,0.98,0,0,2.94,0,0,0,8.83,0,1.96,0.98,0,0
 72-82,0,0.98,0,1.96,5.89,98.17,0,0,1.96,8.83,0,0.98,0,0,0,0.98,45.16,0,1.96,2.94,57.92,0,0,0.98,0,0,2.94,0,0,0,3.93,0.98,0.98,1.96,2.94,0
 84-94,0,1.06,1.06,4.25,3.19,64.78,1.06,4.25,0,10.62,0,0,1.06,1.06,0,0,31.86,0,1.06,4.25,40.36,2.12,0,2.12,0,0,2.12,0,0,0,6.37,0,4.25,1.06,2.12,0
 96-106,0,1.09,0,3.28,3.28,33.88,1.09,2.19,0,6.56,2.19,1.09,0,2.19,0,4.37,14.21,0,2.19,2.19,19.67,2.19,0,3.28,0,0,6.56,0,0,0,4.37,1.09,1.09,1.09,2.19,0
108-118,0,0,0,6.89,0.77,29.87,0,0,0,4.6,0,0,0,1.53,0,0.77,26.81,0,1.53,2.3,31.4,1.53,0.77,1.53,0,0,1.53,0,0,0,1.53,0,1.53,0.77,0,0
120,0,1.96,0,1.96,1.96,31.36,0,0,1.96,1.96,0,1.96,0,0,1.96,0,21.56,0,1.96,1.96,31.36,1.96,0,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,0
