stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,3.28,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,5.64,0,0,0.81,0.81,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0
 48-58,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,2.94,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,5.89,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0,1.96,0,0,0,0
 84-94,5.31,0,0,3.19,0,1.06,1.06,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,1.09,3.28,1.09,1.09,0,0,0,0,3.28,0,1.09,2.19,1.09,1.09,2.19,1.09,0,1.09
108-118,1.53,0.77,0.77,1.53,0,0.77,0,0,9.19,0,0,0.77,0,1.53,0.77,0,0.77,0
120,5.88,1.96,0,1.96,0,0,0,0,25.48,1.96,0,3.92,0,0,0,0,0,0
