stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,6,2,0,2,0,0,0,4,0,0,1,2,0,1,0,0
 24-34,0,0,2.46,0,0,6.57,0,0.82,0,0.82,0,0,0,0,0,0,0,5.75,0,0,1.64,40.22,0,0.82,0.82,0,0,0,0,0.82,0,0,4.93,0,1.64,0,0.82
 36-46,0,0,4.03,0,0,4.83,0.81,0.81,0,3.22,0,0,0,0,0.81,0,0,7.25,0.81,0.81,0.81,51.56,0,1.61,1.61,0,0,0.81,0,0.81,0,0,10.47,0,2.42,0,0.81
 48-58,0,0,2.87,0,0,5.74,0,0.57,2.3,1.15,0,0,0.57,0,0,0,1.72,7.46,0,0,2.3,40.74,1.72,0.57,0.57,0,0,0,0,1.15,0,0,7.46,0,1.72,0,1.72
 60-70,0,0,0,0,0,11.78,1.96,1.96,1.96,3.93,0.98,0,0,1.96,0,0.98,0,10.8,0,0,3.93,44.17,0,0.98,1.96,0,0,0,0,0.98,0,0,9.82,0,0,0,0.98
 72-82,0,0,2.94,0,0,11.78,0,0,0.98,9.82,1.96,0,0,0,0,0,0.98,25.52,0,0,0.98,47.12,0,0,3.93,0,0,0,0,3.93,0.98,0,5.89,0,2.94,0,1.96
 84-94,0,0,5.31,0,0,10.62,1.06,0,0,10.62,6.37,1.06,5.31,1.06,2.12,1.06,1.06,11.68,0,2.12,2.12,21.24,2.12,2.12,1.06,0,0,0,0,4.25,0,0,3.19,1.06,1.06,0,0
 96-106,0,0,8.74,0,0,6.56,2.19,1.09,0,8.74,6.56,0,4.37,1.09,0,1.09,1.09,19.67,0,2.19,5.46,19.67,0,2.19,4.37,0,1.09,1.09,0,1.09,0,0,0,0,3.28,1.09,0
108-118,0,0,13.02,0.77,1.53,6.13,0.77,3.06,0.77,8.43,18.38,0,6.13,1.53,3.83,3.06,0.77,19.15,0.77,0,0.77,23.74,1.53,0.77,3.06,0,0,0,0,2.3,0.77,0,2.3,0,2.3,0,0
120,0,0,17.64,1.96,1.96,7.84,0,1.96,1.96,11.76,15.68,0,9.8,0,0,0,0,11.76,0,1.96,1.96,5.88,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,0,1.96,0
