stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
 24-34,0,0.82,3.28,0,0,2.46,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,364.46,0,11.49,0,0,0,0,0,0,1.64,155.96,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,24.17,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,970.83,0,16.92,0,0,0,1.61,0.81,0,0,262.65,0,0,0,0,0
 48-58,0,0.57,6.31,0,0,158.37,0,0,0.57,10.33,0,0,1.15,0,0,0,0.57,0,0,11.48,0,0,1.15,1498.2,0.57,12.05,1.15,0,0,3.44,0.57,0.57,0,296.66,0,0,1.15,0,2.3
 60-70,0,0.98,5.89,0.98,0,521.19,0.98,0,1.96,27.48,0,0,0,0,0.98,0,0,0,0.98,20.61,0,1.96,0.98,2536.25,0,10.8,1.96,0,0,1.96,0,0.98,0,343.53,0,0.98,0.98,0.98,0
 72-82,0,2.94,13.74,3.93,0,742.14,0,0,1.96,79.51,3.93,0,0,4.91,0,1.96,1.96,0,0.98,45.16,1.96,0.98,2.94,2592.57,0.98,20.61,0.98,0,0,1.96,1.96,0,0,204.19,1.96,0,6.87,0,3.93
 84-94,0,1.06,29.74,4.25,0,485.35,0,0,1.06,63.72,1.06,0,0,2.12,1.06,3.19,1.06,1.06,0,26.55,0,4.25,4.25,1398.7,1.06,13.81,1.06,0,0,9.56,1.06,0,0,116.82,0,0,4.25,3.19,1.06
 96-106,0,3.28,26.23,5.46,2.19,427.3,2.19,0,1.09,62.29,4.37,0,0,2.19,1.09,2.19,2.19,5.46,1.09,30.6,2.19,1.09,5.46,1285.19,2.19,14.21,1.09,0,0,5.46,3.28,1.09,0,68.85,1.09,0,6.56,1.09,2.19
108-118,0,2.3,13.02,6.13,1.53,326.3,0.77,2.3,0.77,50.55,3.83,0,0.77,2.3,0,0.77,0,2.3,0.77,20.68,0.77,0.77,1.53,1267.67,0,10.72,0,0,0,4.6,0.77,0,0,42.89,2.3,0.77,0.77,0,0
120,0,0,17.64,3.92,0,311.61,1.96,1.96,1.96,70.55,0,0,1.96,3.92,0,0,0,1.96,1.96,25.48,0,3.92,3.92,1806.92,1.96,19.6,1.96,0,1.96,3.92,0,0,0,68.59,0,0,0,0,0
