stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,5.75,0,4.1,1.64,1.64,0.82,0,0,0.82,0.82,0,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,3.22,7.25,0,3.22,12.89,1.61,0,0,0,0,6.45,0,0,3.22
 48-58,0,0,0,0.57,0.57,0,1.72,1.15,0,0,0,0,1.72,12.62,0.57,4.59,29.26,2.3,0.57,0,0,0,3.44,0,0,1.15
 60-70,0,0,0,0.98,0.98,0,0,5.89,0,0,0,0,0.98,24.54,0.98,2.94,43.19,1.96,0,0,0,0,2.94,0,0.98,0.98
 72-82,0,0,0,0,1.96,2.94,0.98,1.96,0,0,0,0,0,17.67,0.98,0.98,39.27,0.98,0,0,0,0,0.98,0,1.96,1.96
 84-94,0,0,0,0,9.56,0,1.06,3.19,0,0,1.06,0,2.12,14.87,1.06,3.19,16.99,5.31,0,0,1.06,0,2.12,1.06,3.19,0
 96-106,0,0,0,0,3.28,1.09,1.09,4.37,0,0,0,0,1.09,14.21,0,3.28,17.49,2.19,2.19,0,0,0,0,0,0,2.19
108-118,0,0,0,0.77,4.6,0,0,2.3,0.77,0,0.77,0.77,1.53,9.19,0.77,1.53,18.38,2.3,0.77,0,0.77,0,1.53,1.53,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,11.76,0,1.96,13.72,1.96,0,0,0,0,1.96,0,0,0
