stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,23.66,2.63,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1,0,1,0,3,4,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,7.39,0.82,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,21.23,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0.57,8.61,0.57,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,265.01,0,0,0,2.94,0,0,0,0,0,0,3.93,0,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,3.93,0,812.82,0,0,0.98,19.63,0,0,0.98,0.98,0.98,0,3.93,0,0,51.05,0,0,0,0.98,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,4.25,2.12,351.53,0,1.06,0,19.12,1.06,0,0,0,0,0,1.06,1.06,1.06,25.49,0,1.06,0,0,0,0,1.06,0,1.06,2.12,0,0
 96-106,0,0,3.28,1.09,465.55,1.09,0,0,19.67,0,0,1.09,1.09,0,0,6.56,0,0,22.95,0,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,3.83,0,312.51,0,0,0.77,9.19,0.77,0,0,0,0,0,7.66,1.53,0,16.85,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,184.22,1.96,0,0,9.8,0,0,0,0,0,0,3.92,0,1.96,27.44,0,1.96,0,1.96,0,0,0,0,0,0,0,0
