stage,axial,epidermis,eye,fast.muscle,glial,liver,mesenchyme,muscle,neural,olfactory,slow.muscle,spinal.cord
  7-9,2.63,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,1.15,0,0,0.57,0,4.02,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,0,7.85,0,0,0.98
 72-82,0,0,1.96,0,0,0.98,0,0,13.74,0,0,0.98
 84-94,0,1.06,1.06,0,0,0,0,1.06,4.25,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,1.53,0,0,0,0,0,4.6,0,1.53,0.77
120,0,0,0,1.96,0,0,0,0,9.8,0,0,0
