stage,blastomeres,eye,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,606.18,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,1,0,1,4,0,0
 24-34,0,0,1.64,0,0.82,0,0,25.45,0,0.82,0,0,0.82,0,7.39,0,0.82
 36-46,0,0.81,1.61,0,2.42,0,0,15.31,0,0,0,0,0,0,3.22,0,0
 48-58,0,0.57,1.15,0.57,4.02,0,0,4.59,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,2.94,0.98,0.98,0.98,0,4.91,0.98,0,0,0,0,0,0,0,0
 72-82,0,1.96,4.91,0,2.94,0,0,4.91,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,2.12,1.06,3.19,0,1.06,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,1.09,1.09,2.19,1.09,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,1.53,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
