stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,342.63,5020.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,263.57,3775.86,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,24.52,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,21.03,0,0,15.77,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,441.62,10.51,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,188.82,0,0,0,53.5,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,13,2,7,0,1,0,4,1,0,0,0,1,0,0,1,0,2,0,0,2,66,0,1,0,2,2,12,0,1,13,21,0,0,1,0,0
 24-34,0,0,0.82,0,6.57,0,10.67,0,0,0.82,3.28,0,0,0,0.82,1.64,0,0.82,0,0,7.39,0.82,0,2.46,135.44,0.82,4.1,0.82,0,2.46,0,0,0.82,3.28,35.3,0,0,2.46,0,0.82
 36-46,0,0,0,0,3.22,0,20.95,0,0,0.81,7.25,0,0,0,0,0.81,0,0.81,0,0.81,4.83,0,0.81,2.42,190.14,0,4.83,0,0,8.06,0,0,0,0,37.06,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0.57,39.02,0.57,0.57,1.15,6.31,0,0,1.15,0.57,1.15,1.15,0,0,0.57,14.35,0.57,0,1.15,143.45,0,1.15,0,0,4.02,0,0,0,0,30.99,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,68.71,0,0.98,0.98,7.85,1.96,0,0,0.98,0,0.98,0.98,0.98,0,9.82,0,1.96,0.98,181.58,0,0.98,0,0,3.93,0,0.98,0,0,18.65,0.98,0,0.98,0.98,0
 72-82,0,0,0,0,3.93,1.96,54.97,0,0,0,14.72,0,0,1.96,1.96,0,0.98,0,0,0,23.56,0.98,0,2.94,127.62,0,5.89,0,0.98,7.85,0,0,0,0,9.82,1.96,0.98,3.93,0,0
 84-94,0,0,0,0,2.12,5.31,38.23,0,1.06,0,5.31,0,0,0,1.06,3.19,1.06,0,0,0,20.18,0,1.06,3.19,76.47,1.06,4.25,0,0,10.62,0,2.12,0,0,9.56,0,0,0,1.06,1.06
 96-106,0,0,0,0,6.56,2.19,27.32,0,1.09,1.09,3.28,1.09,0,2.19,5.46,1.09,0,1.09,2.19,0,12.02,1.09,0,4.37,43.71,0,4.37,3.28,0,18.58,0,2.19,0,0,5.46,2.19,0,1.09,1.09,3.28
108-118,0,0,0,0,5.36,3.06,29.11,0,3.06,1.53,6.13,2.3,0,0,0,1.53,1.53,0,1.53,1.53,13.79,0.77,0,2.3,84.26,0.77,0.77,3.06,0,12.26,0,0,0,0,2.3,0.77,0.77,3.06,0,1.53
120,0,0,0,0,5.88,3.92,23.52,3.92,1.96,0,9.8,0,0,0,1.96,0,0,1.96,0,0,9.8,0,0,1.96,48.99,0,1.96,1.96,0,15.68,0,0,0,0,3.92,0,0,0,0,0
