stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,67,2,1,2,0,1,0,0,6,33,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,20.52,0,0,0,4.93,0.82,0,0,0,0.82,0,0.82,0,0,6.57,0,3.28,206.03,0,0.82,0.82,0,4.1,0.82,1.64,1.64,78.8,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,49.15,0,0,0,11.28,0,0,0.81,0,0,0,0.81,0,0,10.47,0.81,1.61,294.87,0.81,4.03,0,0,3.22,0,0,0,101.51,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,98.69,0,0,0,14.92,0,0,0,0,0,1.15,1.72,0,0,10.33,0,3.44,345.43,1.15,4.02,1.15,0,1.72,0,0,0,92.38,0,0,2.87,0,1.15
 60-70,0,0,0,0,1.96,0,189.43,0.98,0.98,1.96,21.59,0.98,0,0,0.98,0,1.96,0.98,0,0.98,24.54,0.98,0,589.89,0,0.98,1.96,0,0.98,0,0.98,0,97.17,0.98,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,0,158.05,0,0,1.96,34.36,0.98,0,0,0,0,0.98,0.98,0,0,36.32,0,0.98,411.32,0,1.96,5.89,0,3.93,0,0,0,47.12,0.98,0.98,4.91,1.96,0.98
 84-94,0,0,1.06,0,7.43,0,98.77,0,1.06,1.06,13.81,1.06,0,0,1.06,1.06,2.12,1.06,0,0,18.05,1.06,3.19,238.96,0,1.06,5.31,0,11.68,2.12,0,0,32.92,1.06,1.06,2.12,3.19,1.06
 96-106,0,0,0,0,6.56,1.09,88.52,0,0,0,25.14,1.09,0,1.09,1.09,1.09,0,0,0,0,22.95,0,2.19,205.46,0,6.56,2.19,0,3.28,0,0,0,22.95,0,2.19,0,4.37,0
108-118,0,0,1.53,0,7.66,0.77,76.6,0,0,0.77,19.15,1.53,0,0,0.77,0.77,1.53,3.83,0.77,0.77,19.92,0,0,178.47,0,2.3,2.3,0,4.6,0.77,0,0,10.72,0,0,6.89,2.3,1.53
120,0,0,0,0,7.84,0,74.47,0,0,0,21.56,3.92,0,1.96,0,0,0,3.92,0,0,19.6,0,0,162.66,1.96,3.92,0,0,1.96,0,0,0,9.8,0,0,3.92,0,0
