stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,fast.muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,4,0,0,1,6,1,1,6,0
 24-34,0,0,0,1.64,0,0,0,0,3.28,0,0,0,0,0.82,0,0,10.67,0,0,0,13.13,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,17.72,0,0,0,13.7,0,0,3.22,0
 48-58,0,0,0,0,0,1.15,0.57,0.57,0,0.57,0,0,0,0,0,0,10.33,0,0,0,5.74,0,0,1.72,0
 60-70,0,0,0,0,0,4.91,0,2.94,1.96,0,0,0,0,0,0,0,6.87,0,0,0,9.82,0,0,2.94,0
 72-82,0,0,2.94,0,0.98,5.89,0,0,6.87,0,0,0,0,1.96,0,0.98,12.76,0,0.98,0,9.82,0,0,0.98,0
 84-94,0,0,5.31,0,0,4.25,0,1.06,8.5,0,0,0,0,2.12,0,0,4.25,0,0,0,23.36,0,0,0,0
 96-106,0,0,3.28,1.09,0,2.19,0,0,18.58,0,0,1.09,0,2.19,0,0,2.19,1.09,0,0,24.04,0,0,0,2.19
108-118,0,0,2.3,0,0,0,0,0,25.28,0,0.77,0.77,0,0.77,0.77,0,2.3,0,0,0,17.62,0,0,0,0
120,0,0,3.92,0,0,3.92,0,0,50.95,0,0,0,0,0,0,0,3.92,0,0,0,13.72,0,0,0,0
