stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,4809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,2764.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,12.26,0,0,24.52,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,73.6,52.57,139.32,0,0,0,131.44,0,0,0,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0,1656.09,60.46,0,0,712.38,0,55.2,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,81.82,163.64,0,18.88,0,138.47,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,3.15,2224.91,34.62,0,0,824.51,0,31.47,6.29,0,62.94,3.15,6.29,0,0,0,0,0
 14-21,1,0,16,256,47,0,62,0,0,0,27,6,2,1,0,9,0,0,0,0,135,1,0,140,1104,81,9,13,48,0,288,0,89,5,112,332,0,0,12,0,1
 24-34,0.82,0,9.85,111.64,10.67,0,288.12,0,1.64,1.64,36.12,2.46,0,8.21,3.28,2.46,3.28,4.1,0.82,0,420.28,10.67,4.1,187.16,2139.97,29.55,20.52,24.63,0,0,683.77,0,0,3.28,12.31,491.69,0,0,68.95,0,13.13
 36-46,0,0,0,45.92,2.42,0,567.19,0,2.42,1.61,46.73,0.81,0,8.06,0.81,1.61,2.42,3.22,0,0,335.16,4.83,8.86,124.88,1236.7,8.86,10.47,4.83,0,0,281.18,0,0.81,2.42,0,323.07,0,0,36.26,0,10.47
 48-58,0,0,0,38.44,1.72,0,679.38,0.57,2.3,4.59,43.61,2.3,0,6.31,3.44,1.15,8.61,2.3,2.3,0,353.46,2.3,16.07,75.74,608.23,8.03,5.74,9.75,0,0,94.1,0,0,1.15,0,107.88,0,0,20.66,0.57,7.46
 60-70,0,0,0,54.97,0,0,456.41,0,2.94,3.93,69.69,10.8,0,0.98,3.93,0.98,6.87,4.91,2.94,0.98,256.18,0.98,24.54,47.11,354.33,9.82,3.93,4.91,0,1.96,55.95,0,0,1.96,0,23.56,0,0,13.74,0.98,1.96
 72-82,0,0,0,64.79,0.98,0,179.64,0,0.98,5.89,70.68,24.54,0,3.93,5.89,1.96,5.89,0.98,6.87,0.98,241.49,0,13.74,45.16,267.99,1.96,8.83,6.87,0,0,43.19,0,0,1.96,0,7.85,1.96,0,30.43,0.98,2.94
 84-94,0,0,0,79.65,2.12,1.06,183.73,0,1.06,4.25,48.85,54.16,0,2.12,4.25,4.25,5.31,3.19,18.05,0,203.91,3.19,22.3,41.42,184.79,7.43,6.37,9.56,0,1.06,57.35,0,0,8.5,0,8.5,4.25,1.06,30.8,1.06,0
 96-106,0,0,1.09,63.39,4.37,1.09,113.66,0,1.09,1.09,46.99,54.64,0,6.56,9.84,0,4.37,1.09,21.86,0,111.47,0,8.74,15.3,177.04,6.56,4.37,10.93,0,2.19,56.83,1.09,0,4.37,0,1.09,3.28,0,20.76,6.56,0
108-118,0,0,0,38.3,3.83,1.53,107.23,0,0,1.53,36,24.51,0,1.53,6.13,0,6.13,0.77,17.62,1.53,81.19,1.53,9.96,17.62,157.79,3.83,7.66,6.13,0,2.3,42.89,0,0,6.13,0,2.3,3.06,0.77,22.21,0,1.53
120,0,0,0,15.68,5.88,0,107.79,0,1.96,1.96,25.48,17.64,0,3.92,11.76,9.8,5.88,1.96,3.92,0,60.75,0,3.92,11.76,139.14,7.84,1.96,3.92,0,1.96,29.4,0,0,0,0,1.96,0,0,13.72,1.96,0
