stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,14,1,0,1,0,0,4,0,2,1,0,5,7,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0.82,7.39,0,0,4.93,17.24,0,0,0.82,0,0,5.75,0,0,1.64,0.82,0,4.1,0,0,2.46,0,0.82
 36-46,0,0,0,1.61,0,0,7.25,0,0.81,0,4.03,0,0,0,0,1.61,0,0,0,0,8.06,0,0,0.81,22.56,0.81,0,0,0,0,5.64,0,0,0,0.81,0,4.03,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,0,6.31,0,0,0.57,9.18,0,0,0,0,0,0,0,0,2.3,8.03,1.15,0,0.57,9.18,0.57,0,0,0,0,0.57,0,0,0,1.15,0,2.3,0,0,2.3,0,0
 60-70,0,0,0.98,4.91,0,0,5.89,0,0.98,0.98,16.69,0,0,0.98,1.96,0,0,0.98,0,0,16.69,0.98,0.98,0.98,11.78,0,0,0.98,0,0,3.93,0,0,0.98,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,2.94,3.93,0,9.82,0,0.98,2.94,16.69,0,0,0.98,0,1.96,0,1.96,0,0.98,17.67,0,0,1.96,3.93,0.98,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,1.06,7.43,3.19,1.06,10.62,1.06,3.19,1.06,15.93,4.25,0,0,1.06,2.12,1.06,0,2.12,2.12,18.05,0,0,1.06,7.43,0,1.06,6.37,0,1.06,6.37,0,0,1.06,0,0,1.06,0,0,1.06,0,1.06
 96-106,0,0,0,3.28,4.37,0,12.02,0,1.09,2.19,13.11,0,0,1.09,2.19,1.09,0,0,1.09,0,20.76,1.09,1.09,2.19,6.56,0,0,1.09,0,2.19,16.39,0,0,0,0,0,3.28,0,1.09,2.19,1.09,4.37
108-118,0,0,0,9.96,0.77,0.77,8.43,0,0,0.77,13.79,6.13,0,0,2.3,3.06,0,0,0,1.53,16.09,0.77,2.3,0.77,9.19,0,1.53,0.77,0,0.77,8.43,0,0,2.3,0.77,0,0,0.77,0,4.6,0,0.77
120,0,0,0,9.8,1.96,0,9.8,0,1.96,0,7.84,3.92,0,1.96,3.92,1.96,0,0,0,0,5.88,0,0,3.92,5.88,3.92,0,1.96,0,0,5.88,0,0,1.96,0,0,1.96,0,0,11.76,0,0
