stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,2.63,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,1,0,0,0,2,12,0,0,0,1,0,0,0,10,3,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,22.16,0,0.82,0,0,0,0,0.82,4.1,10.67,7.39,0.82
 36-46,0,0,0,0.81,3.22,0,0,0,0,0,0,1.61,0,34.64,0,0,0.81,0,0,0,0,0,8.86,6.45,0
 48-58,0,0,0.57,0,10.33,0,0.57,0,0,0,1.15,1.72,0,43.04,0,1.15,0.57,0,0,0,0,0,9.75,2.87,0
 60-70,0,0,0,0,10.8,0,0,0,1.96,0,0,0.98,0,20.61,0,0.98,0,0,0,0.98,1.96,0,2.94,6.87,0.98
 72-82,0,0,0.98,0,35.34,1.96,0.98,0,0.98,0,0,0.98,0,57.92,0,0,0,0,0,0,0,0,6.87,9.82,0
 84-94,0,1.06,0,0,20.18,0,2.12,0,2.12,0,0,1.06,1.06,15.93,0,1.06,0,0,0,0,0,0,1.06,8.5,0
 96-106,0,0,0,0,14.21,0,3.28,0,0,0,0,1.09,2.19,20.76,0,0,0,0,0,0,0,0,0,8.74,1.09
108-118,0,0,0,0,13.79,0,3.06,0,0,0.77,0,1.53,1.53,18.38,0,0,0,0,0.77,0,0,0,0,7.66,0.77
120,0,0,0,0,9.8,0,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,5.88,1.96
