stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,3676.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1704.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,47.32,0,0,0,26.29,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,265.5,13.14,0,0,105.15,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,62.94,0,0,0,75.53,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,563.31,66.09,0,0,220.29,0,3.15,3.15,0,47.2,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,11,210,14,0,17,0,0,0,21,7,1,4,0,0,0,0,0,66,0,0,48,610,197,1,15,5,0,5,1,38,9,66,174,313,0,0,3,0,1
 24-34,0.82,0,0.82,4.93,76.34,2.46,0,20.52,0,0.82,2.46,37.76,2.46,0,1.64,0,0.82,0.82,1.64,1.64,164.99,0.82,0,57.46,1360.98,86.19,5.75,17.24,0,0.82,3.28,0,0,1.64,9.03,37.76,387.44,0,0,4.93,0,0.82
 36-46,0,0,0,0,29.81,0,0,24.98,0.81,2.42,5.64,61.23,0.81,0,4.03,0,0,0.81,0,0,158.72,0,3.22,27.39,992.58,33.84,8.86,8.06,0,0.81,3.22,0,0,3.22,2.42,0,315.82,0,0,3.22,0,0.81
 48-58,0,0,0.57,0,14.35,0.57,0,45.33,1.72,1.15,9.75,114.19,0.57,0.57,1.15,0.57,0,1.72,1.15,0.57,241.57,1.15,6.31,28.69,747.09,26.97,4.59,9.18,0,0.57,0.57,0,0,0,1.72,0,198.54,0,1.15,2.87,0,0
 60-70,0,0,0.98,0,11.78,1.96,0,58.89,0,1.96,11.78,100.12,0,0.98,3.93,0,0.98,0.98,3.93,0.98,284.64,0,8.83,14.72,705.71,17.67,2.94,7.85,0,0,0.98,0,0,0.98,0.98,0,104.04,0,4.91,6.87,0,0.98
 72-82,0,0,2.94,0,17.67,2.94,0,82.46,0,1.96,7.85,136.45,3.93,0.98,4.91,0,0.98,1.96,4.91,0,379.9,0,14.72,26.5,609.61,12.76,4.91,16.69,0,2.94,0.98,0,0,0,0,0,51.05,2.94,3.93,8.83,4.91,0.98
 84-94,1.06,0,3.19,0,26.55,1.06,0,89.21,1.06,2.12,3.19,76.47,3.19,0,4.25,4.25,6.37,3.19,2.12,1.06,245.33,0,14.87,12.74,311.18,19.12,4.25,6.37,0,2.12,6.37,0,0,0,1.06,0,30.8,5.31,7.43,4.25,6.37,0
 96-106,0,0,2.19,0,42.62,1.09,0,62.29,2.19,3.28,7.65,63.39,4.37,0,2.19,1.09,0,4.37,1.09,0,171.58,0,14.21,22.95,287.42,4.37,9.84,14.21,0,0,5.46,1.09,0,4.37,1.09,0,19.67,3.28,4.37,10.93,9.84,0
108-118,0,0,1.53,0,22.98,1.53,0,49.02,1.53,0.77,7.66,52.85,2.3,0,0.77,0.77,2.3,4.6,4.6,0,143.24,1.53,11.49,13.79,274.21,9.96,2.3,5.36,0,1.53,6.13,0,0,3.06,0,0,16.09,2.3,3.06,3.06,2.3,0
120,0,0,1.96,0,33.32,0,1.96,56.83,1.96,5.88,3.92,72.51,1.96,0,0,1.96,3.92,0,0,0,107.79,0,11.76,17.64,403.72,11.76,1.96,13.72,0,1.96,1.96,1.96,0,1.96,1.96,0,11.76,5.88,1.96,9.8,5.88,0
