stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,10,0,0,0,0,16
 24-34,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0.82,0,0,5.75,0.82,0,0,0,0,0,0,0,0.82,0,0,0,110.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,3.22,0,0,0,0.81,0,0.81,0,0,0,0,0,0,122.46
 48-58,0,0,0.57,0,2.3,0,4.59,0,0,0,0,0,0,2.87,0,0.57,12.62,0.57,0.57,0,0,0,0,0,0,1.15,0,0,0,145.17
 60-70,0,0,0,0.98,1.96,0,30.43,0,0,0,0.98,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,146.25
 72-82,0,0,0,0,12.76,0,139.4,0,0.98,0.98,1.96,0.98,0,7.85,0,0,9.82,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,105.04
 84-94,0,0,3.19,0,10.62,0,99.83,1.06,0,0,1.06,0,0,8.5,0,0,10.62,0,0,0,1.06,0,0,0,0,0,0,1.06,0,93.46
 96-106,0,0,3.28,0,22.95,1.09,146.44,0,2.19,1.09,0,0,0,4.37,1.09,0,8.74,0,0,0,0,0,0,0,0,1.09,0,0,1.09,115.84
108-118,0,0,0,0.77,4.6,0,130.21,3.06,0,0,0,0,0.77,2.3,0,1.53,9.19,0,0.77,0,0.77,0,0,0,0,0,0,0,0,111.06
120,0,0,0,0,7.84,0,121.51,0,0,0,0,0,0,1.96,0,1.96,5.88,1.96,0,0,0,0,0,0,0,1.96,0,0,0,39.2
