stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow_muscle,spinal_cord,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0.82,0.82,0,0,0.82,4.1,0.82,0,0.82,67.31,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,60.43,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,1.15,0,5.74,0,0.57,0,68.28,0.57,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0,0,27.48,0.98,0
 72-82,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,30.43,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,2.12,0,0,0,3.19,1.06,1.06,0,3.19,0,53.1,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,2.19,0,0,0,3.28,1.09,6.56,0,1.09,0,59.01,3.28,1.09
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0,1.53,0.77,0.77,5.36,0,0,0,42.89,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0
