stage,axial,blastomeres,epidermis,eye,glial,heart,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,0,0,7.89,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,22.03,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0.81,12.89,3.22,0,0,0,0,0.81
 48-58,0,0,0,7.46,0,0,0,0,0,16.64,1.72,0.57,0,0,0,1.15
 60-70,0,0,0.98,43.19,0.98,0,0.98,0,0.98,31.41,0,3.93,0,0,0,2.94
 72-82,0,0,0.98,35.34,0,0,0.98,0,1.96,31.41,0,0.98,0,0,0,0
 84-94,0,0,2.12,27.61,1.06,0,2.12,0,0,11.68,0,2.12,0,0,0,0
 96-106,0,0,0,36.06,0,0,0,0,1.09,12.02,1.09,3.28,0,1.09,0,0
108-118,0,0,2.3,18.38,0.77,0,0,0,0.77,10.72,0,2.3,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,11.76,0,3.92,0,0,0,0
