stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,34.17,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,34.62,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,160.5,147.91,0,0,69.23,0,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,88,287,186,0,0,0,8,4,0,4,0,0,3,3,1,36,682,0,0,727,991,276,1,51,15,0,3,75,8,1,225,278,0,0,40,0,13
 24-34,0.82,0,0,1.64,36.94,31.19,167.45,0.82,0.82,34.48,6.57,3.28,0.82,4.1,0,0.82,8.21,18.88,0.82,68.13,1300.24,0.82,3.28,732.2,591.02,27.91,1.64,64.85,0,1.64,3.28,5.75,0,0,139.55,152.68,0,0,115.74,0,13.95
 36-46,0,0,0,0,7.25,4.83,41.89,0,3.22,99.1,6.45,0,0,8.86,0.81,0.81,7.25,14.5,0,16.92,1354.33,0.81,14.5,489.85,216.73,4.83,1.61,24.98,0,1.61,1.61,1.61,0.81,0,0,65.26,0,2.42,50.76,0,3.22
 48-58,1.15,0,0,0,6.89,0.57,42.46,0.57,4.02,107.3,4.59,0,0,6.89,0,1.15,1.72,20.08,0.57,5.16,1531.49,0.57,38.44,322.48,120.5,0.57,1.15,15.49,0,2.87,1.15,0,0,0.57,0,16.07,0,4.02,16.64,0,1.15
 60-70,0,0,0,0,2.94,0,37.3,14.72,5.89,103.06,3.93,0.98,0,7.85,0.98,0,6.87,16.69,0.98,3.93,1540.99,0.98,48.09,219.86,87.36,0,0,15.7,0,11.78,0,0,0,0,0,8.83,0,25.52,14.72,18.65,0
 72-82,0,0,0.98,0,7.85,0.98,100.13,24.54,2.94,184.55,4.91,1.96,0,7.85,0.98,0,0.98,30.43,0,0.98,2037.93,0.98,42.21,261.12,103.07,0.98,0.98,16.69,0,15.71,1.96,0,0,0,0,3.93,0,45.16,19.63,60.86,1.96
 84-94,0,0,0,0,10.62,1.06,140.19,20.18,1.06,142.31,18.05,0,0,1.06,2.12,1.06,2.12,30.8,0,2.12,1491.1,0,48.85,212.41,57.35,0,7.43,19.12,0,16.99,1.06,0,0,0,0,7.43,0,50.98,21.24,61.6,0
 96-106,0,0,1.09,1.09,24.04,2.19,108.19,9.84,5.46,124.58,21.86,3.28,0,8.74,6.56,1.09,6.56,44.81,4.37,2.19,1439.28,1.09,20.76,171.58,113.66,0,2.19,28.41,0,32.79,1.09,0,0,0,0,4.37,0,46.99,30.6,88.52,1.09
108-118,0.77,0,0.77,0.77,6.13,2.3,36.77,11.49,3.06,108,8.43,0.77,0,3.06,3.06,0,3.06,21.45,0.77,3.83,1207.92,2.3,21.45,149.36,118.72,1.53,1.53,28.34,0,32.94,2.3,0,0,0,0,1.53,0.77,30.64,13.79,63.57,0.77
120,1.96,0,0,0,9.8,1.96,45.08,13.72,0,94.07,3.92,3.92,0,5.88,1.96,0,3.92,27.44,5.88,1.96,760.4,0,25.48,111.71,68.59,0,1.96,23.52,0,39.2,1.96,0,3.92,0,0,3.92,1.96,23.52,9.8,70.55,0
