stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,34.17,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,134.06,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,9.44,0,0,113.29,0,0,3.15,0,15.73,0,6.29,0,0,0,0,0
 14-21,0,0,1,2,27,7,0,140,0,0,0,16,2,0,1,0,0,0,0,0,0,10,0,0,4,833,4,3,5,6,0,2,0,7,2,8,275,0,0,6,0,0
 24-34,0.82,0,1.64,1.64,12.31,2.46,0,270.06,0,0,0,27.09,0.82,0,1.64,0,0,0,0,2.46,3.28,9.85,0,0,2.46,1080.25,0.82,13.95,5.75,0,0,4.93,0,0,0,2.46,237.23,0,0,23.8,0,0
 36-46,0,0,0,0,6.45,0,0,593.78,0,0.81,0,41.89,0.81,0,0,0,0,0,0,1.61,2.42,8.06,0,0,3.22,1422.01,0,8.06,1.61,0,0,2.42,0,0,0.81,0,315.82,0,0,12.09,0,0
 48-58,0,0,0,0,7.46,0,0,910.05,0.57,0.57,0,80.33,0,0,0.57,0,0,2.87,0.57,2.3,2.87,16.07,0.57,0.57,5.16,1487.88,0.57,6.31,1.72,0,0.57,3.44,0.57,0,0,0,231.82,0,0.57,6.89,0,2.3
 60-70,0,0,0,0,5.89,0,0,1698.03,0.98,0,0.98,131.52,1.96,0,0,0,0,0.98,0,0.98,0.98,23.56,0,0,1.96,2205.48,0,8.83,0,0,0,4.91,0,0,0,0,227.71,0.98,0.98,5.89,0,0.98
 72-82,0,0,1.96,0,19.63,3.93,0,1341.93,0.98,0,3.93,230.69,2.94,0,1.96,1.96,0,1.96,1.96,0,1.96,50.06,0,0.98,2.94,1831.78,0,8.83,3.93,0,0,2.94,0,0,0,0,152.16,0.98,1.96,22.58,2.94,2.94
 84-94,0,0,0,0,20.18,0,2.12,922.91,0,4.25,1.06,158.24,0,0,2.12,1.06,1.06,2.12,3.19,4.25,2.12,32.92,1.06,5.31,6.37,994.07,0,5.31,5.31,0,0,4.25,0,0,1.06,0,80.71,1.06,1.06,14.87,0,0
 96-106,0,0,4.37,0,18.58,3.28,1.09,702.7,1.09,2.19,0,161.74,3.28,0,0,4.37,0,3.28,2.19,3.28,1.09,29.51,1.09,2.19,1.09,794.5,0,6.56,10.93,0,1.09,14.21,0,0,2.19,0,41.53,4.37,4.37,13.11,0,3.28
108-118,0,0,3.83,0.77,14.55,3.83,1.53,515.49,1.53,0.77,0.77,104.17,2.3,0,0,1.53,2.3,0.77,0,3.06,3.06,22.98,0,1.53,2.3,903.07,0.77,3.06,8.43,0,0,3.83,0,0,0.77,0,30.64,3.83,0,10.72,0.77,3.06
120,0,0,0,0,13.72,13.72,0,380.2,0,0,0,105.83,1.96,0,0,3.92,1.96,1.96,1.96,5.88,1.96,15.68,1.96,0,1.96,876.02,0,5.88,0,0,0,3.92,0,0,0,0,43.12,0,0,7.84,0,0
