stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0
  5-6,49.04,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,47.32,0,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,28,0,0,0,22,0,0,0,0,0,5,0,0,0,1,1,0,0,1,0
 24-34,0,0,0,0,0,11.49,0,0,0,41.04,0,0,1.64,0,0,2.46,0,0,0,0.82,1.64,0,0,9.03,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,68.48,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,7.25,0
 48-58,0,0,0,0,0.57,2.3,1.72,0,0,61.97,0,0,0,1.72,0,2.87,0,0,0,0.57,1.72,0,0,10.33,0
 60-70,0,0,0,0,0,1.96,1.96,0,0,76.56,0,0,0.98,0.98,0,4.91,0,0,0,0,0,0,0,8.83,0
 72-82,0,0,0.98,0,0.98,4.91,4.91,0,0,127.62,0,0,2.94,0.98,0,2.94,0,0,0,0,0.98,0,1.96,12.76,0
 84-94,0,0,0,0,1.06,7.43,1.06,0,0,147.62,0,1.06,1.06,3.19,0,5.31,0,0,0,1.06,0,0,1.06,20.18,1.06
 96-106,0,0,0,0,2.19,3.28,4.37,1.09,0,192.34,1.09,0,5.46,1.09,1.09,0,1.09,2.19,0,0,0,1.09,0,29.51,1.09
108-118,0,0,0,0,0.77,5.36,3.83,0.77,1.53,158.55,0.77,0,1.53,2.3,0.77,3.83,0,0,0,0,0,0,0.77,16.09,0.77
120,0,0,0,0,0,11.76,1.96,0,0,180.3,0,0,1.96,1.96,1.96,1.96,0,0,0,1.96,0,0,0,43.12,0
