stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,18.4,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,55.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.58,6.29,0,0,100.7,0,0,0,25.18,0,0,0,0,0,0
 14-21,0,0,0,4,31,5,0,41,0,0,0,11,1,0,2,1,0,0,0,0,0,23,0,0,14,300,8,1,4,6,0,7,38,4,0,23,84,0,0,0
 24-34,0,0,0,0.82,12.31,4.93,0,102.61,0,0.82,1.64,2.46,0,0.82,0.82,4.93,0.82,0.82,0.82,0,0,55,0,0.82,13.13,525.35,4.93,3.28,4.1,0,0,17.24,0,0.82,0,6.57,93.58,6.57,0,2.46
 36-46,0,0,0,0,7.25,1.61,0,100.71,0,0,0,8.06,1.61,0,0,1.61,0,0,0.81,0,0,31.42,0,0,10.47,237.67,0,0,1.61,0,0,5.64,0.81,0,0,0,58.81,4.83,0,0
 48-58,0,0,0,0,1.15,0,0,106.15,0,0,1.15,8.03,0,0,0.57,2.3,0,0.57,0,0,0.57,35.58,0.57,0.57,6.31,95.25,0.57,0.57,1.72,0,0,2.87,0,0,0,0,22.95,0.57,0,1.72
 60-70,0,0,0,0,1.96,0,0,86.37,0,0.98,0.98,8.83,0,0,0,2.94,0.98,0,0,0,0,26.5,0,1.96,4.91,70.67,0,0.98,1.96,0,0,2.94,0,0.98,0,0,5.89,0.98,0,0.98
 72-82,0,0,0,0,1.96,1.96,0,48.1,0,0,0,18.65,2.94,0,0,1.96,0,1.96,0,0,0,34.36,1.96,1.96,7.85,63.81,0,1.96,0.98,0,0,1.96,0,0,0.98,0,2.94,4.91,0,2.94
 84-94,0,0,0,0,7.43,2.12,1.06,49.92,0,2.12,0,9.56,2.12,0,0,6.37,0,0,2.12,1.06,0,30.8,0,3.19,9.56,45.67,1.06,3.19,1.06,0,0,6.37,0,0,0,0,3.19,2.12,0,1.06
 96-106,0,0,0,0,8.74,1.09,0,29.51,0,0,0,18.58,6.56,0,1.09,12.02,0,0,1.09,1.09,1.09,25.14,2.19,3.28,5.46,45.9,0,3.28,4.37,0,1.09,2.19,0,0,0,0,0,7.65,1.09,3.28
108-118,0,0,0.77,0,8.43,2.3,0,40.6,0.77,0.77,1.53,16.09,0.77,0,0,5.36,0.77,0,0,0.77,0,22.98,0.77,0.77,5.36,68.17,0.77,0.77,1.53,0,0,3.83,0,0.77,0,0,2.3,1.53,0.77,1.53
120,0,0,0,0,11.76,0,0,27.44,0,0,0,15.68,3.92,0,0,9.8,0,0,0,1.96,0,15.68,0,0,5.88,39.2,1.96,1.96,0,0,0,0,0,0,0,0,3.92,1.96,0,1.96
