stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,1199.19,18633.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.85,0,0,0,0,0,0,0,0,0
  5-6,539.41,6013.17,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,153.24,6.13,0,0,36.78,128.72,0,0,0,0,0,0,0,0,0
  7-9,55.2,44.69,123.55,0,0,165.61,0,0,0,0,73.6,0,0,0,0,0,0,0,1771.75,78.86,0,0,657.18,5.26,52.57,0,0,0,0,0,0,0,0
 10-12,0,18.88,37.76,0,3.15,84.97,0,0,0,0,12.59,0,0,0,0,0,0,0,585.34,62.94,0,0,210.85,3.15,15.73,0,31.47,0,3.15,0,0,0,0
 14-21,0,0,1,8,1,2,0,0,0,1,1,0,1,0,0,2,0,2,35,35,5,1,1,2,7,15,1,1,7,20,0,0,0
 24-34,0,0,0,1.64,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,2.46,46.79,9.03,4.93,0.82,0,0,0,0,0,0,1.64,9.85,0,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0.81,0,1.61,0,0,0.81,2.42,63.65,1.61,2.42,1.61,0,0.81,0.81,0,0,0,0,2.42,0,0,4.03
 48-58,0,0,0,0.57,0,13.77,0,0.57,1.15,0,0,0,0,6.89,0.57,0,1.15,1.15,141.16,0,1.72,1.15,0,0,0,0,0,0,0,9.75,0,0.57,4.02
 60-70,0,0,0,1.96,0,9.82,0.98,0,0,0,0,0,0,21.59,1.96,0,0,2.94,103.06,0,0.98,0.98,0,0.98,0,0,0,0,0,4.91,0,0,4.91
 72-82,0,0,0,0.98,0.98,43.19,0,0,1.96,0,0,0,0,22.58,0,0,0,1.96,118.78,0,0,4.91,0,0,0,0,0,0,0,4.91,0,0,2.94
 84-94,0,0,0,1.06,0,35.05,0,0,0,0,0,0,0,31.86,2.12,0,0,1.06,58.41,0,1.06,2.12,0,1.06,0,0,0,0,0,4.25,0,0,3.19
 96-106,0,0,0,1.09,0,29.51,0,1.09,0,0,0,0,0,28.41,0,0,0,0,38.25,0,2.19,2.19,0,0,0,0,0,0,0,2.19,0,0,2.19
108-118,0,0,0.77,0.77,0,17.62,0,0,0.77,0,0,0,0,28.34,0,0,0,0.77,48.26,0,1.53,3.83,0,0,0,0,0,0,0,1.53,0.77,0,3.06
120,0,0,0,0,0,23.52,0,0,1.96,1.96,0,0,0,15.68,0,0,0,0,35.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
