stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,8,33,0,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,1,0,0,0,0,1,0,0,96,0,0,0,0,0
 24-34,0,0,0,21.34,0,4.93,0,0,0,91.94,0,0,0,0,0,0,0,0,0,4.1,0,0,4.1,1100.77,0,0.82,1.64,0,0,1.64,0,0,0,0.82,384.16,0,0,3.28,0,0
 36-46,0,0,0,4.83,0,13.7,0,0,1.61,119.24,0,0,0.81,0,0,0,0,0,0,4.83,0,0,4.03,1833.7,0,0,0,0,0.81,3.22,0,0,0,0,560.75,0,0,1.61,0,0
 48-58,0,0,0,4.02,0.57,91.23,0,0.57,4.02,156.07,0,8.61,0,1.15,0,0,0,0.57,1.15,20.66,0,1.72,6.89,2104.14,0,1.72,0,0,0,4.02,0,0,0.57,0,496.92,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,1.96,125.63,0,2.94,0.98,151.15,0,1.96,0,0,0,0,0.98,0,0.98,24.54,0,0.98,3.93,2856.23,0,0.98,0,0,0,5.89,0,0,1.96,0.98,462.3,0,1.96,0.98,0,3.93
 72-82,0,0.98,0,22.58,11.78,349.47,0.98,1.96,7.85,208.11,0.98,1.96,1.96,2.94,0.98,4.91,2.94,1.96,3.93,58.9,0,2.94,5.89,2579.81,0,0.98,3.93,0,0.98,5.89,0,0,0,0.98,288.61,2.94,0,7.85,2.94,2.94
 84-94,0,0,2.12,18.05,4.25,250.64,1.06,2.12,5.31,126.38,1.06,6.37,1.06,1.06,2.12,2.12,0,1.06,0,36.11,0,4.25,2.12,1313.74,0,1.06,2.12,0,1.06,9.56,1.06,0,1.06,1.06,208.16,0,2.12,0,1.06,0
 96-106,0,1.09,0,20.76,2.19,219.66,0,1.09,5.46,150.81,5.46,0,1.09,3.28,0,2.19,1.09,2.19,0,42.62,1.09,3.28,7.65,1046.95,1.09,2.19,0,0,1.09,6.56,0,0,0,0,80.87,0,3.28,5.46,5.46,0
108-118,0,0,4.6,12.26,2.3,142.47,0.77,3.06,3.06,113.36,0,0,0,1.53,0.77,0.77,0,0.77,0,19.92,0.77,7.66,3.06,1370.31,0,1.53,1.53,0,0,3.83,0,0,0,0,59.75,0,0.77,0.77,3.06,0.77
120,0,0,1.96,23.52,1.96,166.58,0,3.92,0,139.14,1.96,0,1.96,0,0,0,0,0,0,27.44,1.96,1.96,9.8,1475.72,1.96,1.96,0,0,0,5.88,0,0,1.96,0,47.03,0,3.92,5.88,0,0
