stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0
 24-34,3.28,2.46,0.82,0,0,0,0,1.64,0,0,0,2.46,0,0,0.82,5.75,0,0,83.73,0,0.82,0,0,0.82
 36-46,1.61,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,6.45,0,0.81,72.51,0,2.42,0,0,0
 48-58,1.72,0.57,0.57,0,0,0,0.57,0,0,0,0,0,1.15,0,0.57,9.18,0,0.57,58.53,0,0.57,0,0,0
 60-70,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,82.45,0,0,0,0.98,0
 72-82,3.93,0.98,0.98,0.98,0.98,0,0,1.96,0,0,0,1.96,0.98,0.98,0.98,4.91,0,0.98,93.26,0,0,0,0.98,0
 84-94,16.99,0,1.06,0,0,1.06,0,4.25,1.06,0,0,1.06,3.19,0,1.06,2.12,0,2.12,294.18,0,0,3.19,0,0
 96-106,25.14,1.09,2.19,0,2.19,1.09,0,2.19,0,1.09,0,2.19,4.37,0,1.09,7.65,0,5.46,202.18,0,0,0,0,0
108-118,22.21,2.3,2.3,0,0,1.53,0,3.83,0.77,0.77,0.77,1.53,2.3,0.77,0,4.6,0,3.83,157.79,0.77,0.77,2.3,0,0
120,25.48,0,5.88,0,0,0,0,0,0,0,0,3.92,3.92,0,0,7.84,0,5.88,178.34,0,0,0,0,0
