stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,9.67,0,0,0,0,0.81,0,1.61,0.81,0,0,0,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,2.87,13.2,0,1.15,0,0,1.72,3.44,1.15,6.31,0,0,0,0.57,0,0,1.72,0,0.57,0.57,0
 60-70,0,0.98,0,1.96,7.85,0,0.98,0,0,8.83,8.83,0.98,1.96,0,0,0,1.96,0,3.93,0,0,2.94,1.96,0
 72-82,0,0,0,5.89,3.93,0,0,0,0,6.87,19.63,2.94,3.93,0,0.98,0.98,2.94,0.98,0,0,0,9.82,1.96,1.96
 84-94,0,1.06,0,1.06,0,0,0,0,0,12.74,16.99,4.25,5.31,0,0,0,1.06,0,0,0,0,4.25,2.12,4.25
 96-106,0,1.09,0,2.19,3.28,0,0,0,0,6.56,16.39,1.09,7.65,1.09,2.19,0,6.56,1.09,0,1.09,0,15.3,0,3.28
108-118,0,0,0.77,3.06,3.83,0.77,0,0.77,0,9.96,10.72,5.36,5.36,0,1.53,0,11.49,1.53,0.77,0,0.77,3.83,0.77,4.6
120,0,3.92,0,3.92,11.76,0,0,0,1.96,11.76,23.52,0,5.88,0,3.92,0,3.92,0,0,0,0,1.96,1.96,7.84
