stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,7.89,0,15.77,0,2.63,0,0,0,0,0,120.92,0,0,0,36.8,0,0,0,0
 10-12,0,3.15,12.59,0,12.59,0,3.15,0,0,0,0,0,62.94,0,0,0,40.91,0,3.15,0,0
 14-21,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
 24-34,0,0,0,0,1.64,0,0,0,0,0,1.64,0,0.82,0.82,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,3.92,1.96,0,0
