stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,52,1,0,1,2,0,0,3,0,1,7,17,0,0,0,0,0
 24-34,0,0,2.46,0,0,9.85,0,0.82,0,0.82,0,0,0,0,0,0,0,0,6.57,0,3.28,55.82,0,0,1.64,0,0,1.64,0,0,0,1.64,23.8,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,11.28,0,0,0,2.42,0,0,0,0,0,0,0,0,8.06,0,4.03,77.34,0,0,0,0,0.81,2.42,0,0.81,0,0,12.09,0,0,0,0,0.81
 48-58,0,0,0,0,0,18.36,0,0,1.15,8.03,0,0,0.57,0,0,0.57,0.57,0,11.48,0.57,2.3,25.82,0,0,1.15,0,0,1.72,0,0,0,0,10.33,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,11.78,0,0,0,8.83,0,0,0,0,0,0,0,0,13.74,0,0,12.76,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,12.76,0.98,1.96,1.96,16.69,1.96,0,0,0,0.98,0,0.98,0,31.41,0.98,3.93,21.6,0,0,1.96,0,0,2.94,0,0,0.98,0,1.96,0,0.98,6.87,0,0.98
 84-94,0,0,1.06,0,0,9.56,0,1.06,1.06,9.56,0,1.06,1.06,1.06,0,2.12,0,0,11.68,1.06,3.19,6.37,1.06,0,2.12,0,0,4.25,0,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,0,13.11,0,2.19,3.28,13.11,1.09,0,0,1.09,0,1.09,0,0,21.86,0,4.37,12.02,1.09,1.09,2.19,0,0,3.28,0,1.09,0,0,0,0,0,4.37,3.28,0
108-118,0,0,6.13,0,0.77,6.89,0,0.77,1.53,8.43,1.53,0,0,0.77,0.77,0,0,0.77,11.49,0.77,2.3,16.85,0.77,1.53,2.3,0,0,2.3,0,0,0.77,0,0,0.77,0.77,2.3,0,0.77
120,0,0,3.92,0,0,3.92,0,0,0,3.92,0,0,3.92,0,0,1.96,0,1.96,9.8,0,5.88,9.8,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
