stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82,6.57,0,0.82,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,12.89,0,0,0,0
 48-58,0,0,0,0.57,0,40.17,0,0,0,0,0,0,0,0,0,0,0,0,0.57,16.07,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,0,190.42,0,0,0,2.94,0,0,0,0,0,0.98,0,0.98,0,31.41,0,0,0,0.98,0.98,0,9.82,0,0,0,0
 72-82,0,0,0,0.98,0,318.06,0,0,1.96,10.8,0,0,0,0,0,1.96,0,0,0.98,87.37,0,0,0,0.98,0,0,15.71,0,0,0,0
 84-94,0,0,0,4.25,0,189.04,0,0,0,11.68,0,0,0,0,0,2.12,0,0,0,65.85,0,0,0,1.06,0,0,6.37,0,1.06,1.06,0
 96-106,0,0,0,5.46,1.09,127.86,0,0,0,21.86,0,1.09,1.09,2.19,0,4.37,0,0,0,61.2,0,0,0,1.09,0,0,7.65,0,0,0,1.09
108-118,0,0,0,1.53,0,71.23,0,0,0,13.02,0,0,0,0.77,0,5.36,0.77,0.77,0,46.72,0.77,0,0.77,0,0,0.77,4.6,1.53,0,0,0
120,0,0,0,1.96,0,60.75,1.96,1.96,0,19.6,0,0,0,0,1.96,5.88,0,0,1.96,82.31,0,0,0,1.96,0,0,15.68,0,0,0,0
